pr.1	Latebat inter nugas meas libellus ignobilis; utinamque latuisset neque indicio suo tamquam sorex periret, hunc ego cum velut gallinaceus Euclionis situ chartei pulveris eruissem, excussum relegi atque ut avidus faenerator inprobum nummum malui occupare quam condere, dein cogitans mecum, non illud Catullianum, cui dono lepidum novum libellum, set ἀμουσότερον et verius: cui dono inlepidum, rudem libellum, non diu quaesivi, tu enim occurristi, quem ego, si mihi potestas sit ex omnibus deligendi, unum semper elegerim. misi itaque ad te haec frivola gerris Siculis vaniora, ut, cum agis nihil, haec legas et, ne nihil agas, defendas. igitur iste nugator libellus iam diu secreta quidem, sed vulgi lectione laceratus perveniet tandem in manus tuas. quem tu aut ut Aesculapius redintegrabis ad vitam, aut ut Plato iuvante Vulcano liberabis infamia, si pervenire non debet ad famam. Fuit autem ineptiolae huius ista materia, in expeditione, quod tempus, ut scis, licentiae militaris est, super mensam meam facta est invitatio, non illa de Rubrii convivio, ut Graeco more biberetur,1 set illa de Flacci ecloga, in qua propter mediam noctem et novam lunam et Murenae auguratum ternos ter cyathos attonitus petit vates. hunc locum de ternario numero illico nostra illa poetica scabies coepit exculpere: cuius morbi quoniam facile contagium est, utinam ad te quoque prurigo commigret et fuco tuae emendationis adiecto inpingas sphongiam, quae inperfectum opus equi male spumantis absolvat. ac ne me nescias gloriosum, coeptos inter prandendum versiculos ante cenae tempus absolvi, hoc est, dum bibo et paulo ante quam biberem. Sit ergo examen pro materia et tempore, set tu quoque hoc ipsum paulo hilarior et dilutior lege; namque iniurium est de poeta male sobrio lectorem abstemium iudicare.
1.9	inde trisulca Iovis sunt fulmina, Cerberus inde,
1.10	inde tridens triplexque Helenae cum fratribus ovum.
1.11	ter nova Nestoreos implevit purpura fusos 
1.12	et totiens trino cornix vivacior. aevo.
1.13	quam novies terni glomerantem saecula tractus
1.14	vincunt aeripedes ter temo Nestore cervi,
1.15	tris quorum aetates superat Phoebeius oscen, 
1.16	quem novies senior Gangeticus anteit ales,
1.17	ales cinnameo radiatus tempora nido.
1.18	Tergemina est Hecate, tria virginis ora Dianae;
1.19	tris Charites, tria Fata, triplex vox, trina elementa,
1.20	tris in Trinacria Siredones; omnia terna: 
1.21	tris volucres, tris semideae, tris semipuellae,
1.22	ter tribus ad palmam iussae certare camenis,
1.23	ore manu flatu buxo fide voce canentes,
1.24	tris sophiae partes, tria Punica bella, trimenstres
1.25	annorum caelique vices noctisque per umbram 
1.26	tergemini vigiles, ter clara instantis Eoi
1.27	signa canit serus deprenso Marte satelles.
1.28	et qui conceptus triplicatae vespere noctis
1.29	iussa quater ternis adfixit opima tropaeis.
1.30	Et lyrici vates numero sunt Mnemosynarum, 
1.31	tris solas quondam tenuit quas dextera Phoebi:
1.32	set Citheron totiens ternas ex aere sacravit
1.33	relligione patrum, qui sex sprevisse timebant,
1.34	trina Tarentino celebrata trinoctia ludo,
1.35	qualia bis genito Thebis trieterica Baccho. 
1.36	tris primas Thraecum pugnas tribus ordine bellis
1.37	Iuniadae patrio inferias misere sepulcro,
1.38	illa etiam thalamos per trina aenigmata quaerens,
1.39	qui bipes et quadrupes foret et tripes, omnia solus,
1.40	terruit Aoniam volucris, leo, virgo triformis 
1.41	sphinx, volucris pennis, pedibus fera, fronte puella.
1.42	Trina in Tarpeio fulgent consortia templo,
1.43	humana efficiunt habitacula tergenus artes:
1.44	parietibus qui saxa locat, qui culmine tigna,
1.45	et qui supremo comit tectoria cultu. 
1.46	hinc Bromii quadrantal et hinc Sicana medimna:
1.47	hoc tribus, hoc geminis tribus explicat usus agendi.
1.48	in physicis tria prima, deus, mundus, data forma:
1.49	tergenus omnigenum, genitor, genetrix, generatum.
1.50	Per trinas species trigonorum regula currit, 
1.51	aequilatus vel crure pari vel in omnibus inpar.
1.52	tris coit in partes numerus perfectus,1 ut idem
1.53	congrege ter temo per ter tria dissoluatur.
1.54	tris primus par, impar habet mediumque: sed ipse,
1.55	ut tris, sic quinque et septem quoque, dividit unus; 
1.56	et numero in toto positus sub acumine centri
1.57	distinguit solidos coebo pergente 2 trientes,
1.58	aequipares dirimens partes ex inpare temo:
1.59	et paribus triplex medium, cum quattuor et sex
1.60	bisque quaternorum secernitur omphalos idem. 
1.61	Ius triplex, tabulae quod ter sanxere quaternae:
1.62	sacrum, privatum et populi commune quod usquam est.
1.63	interdictorum trinum genus: unde repulsus
1.64	vi fuero aut utrubi fuerit quorumve bonorum,
1.65	triplex libertas capitisque minutio triplex. 
1.66	trinum dicendi genus est: sublime, modestum
1.67	et tenui filo. triplex quoque forma medendi,
1.68	cui logos aut methodos cuique experientia nomen,
1.69	et medicina triplex: servare, cavere, mederi,
1.70	tris oratorum cultus; regnata Colosso 
1.71	quem Rhodos, Actaeae quem dilexistis Athenae
1.72	et quem de scaenis tetrica ad subsellia traxit
1.73	prosa Asiae, in causis numeros imitata chororum.
1.74	Orpheos hinc tripodes, quia sunt tria, terra, aqua, flamma.
1.75	triplex sideribus positus, distantia, forma. 
1.76	et modus et genetrix modulorum musica triplex,
1.77	mixta libris, secreta astris, vulgata theatris.
1.78	Martia Roma triplex: equitatu, plebe, senatu,
1.79	hoc numero tribus et sacro de monte tribuni.
1.80	tres equitum turmae, tria nomina nobiliorum. 
1.81	nomina sunt chordis tria, sunt tria nomina mensi.
1.82	Geryones triplices, triplex conpago Chimaerae:
1.83	Scylla triplex, commissa tribus: cane, virgine, pisce.
1.84	Gorgones Harpalycaeque et Erinyes agmine temo,
1.85	et tris fatidicae, nomen commune, Sibyllae, 
1.86	quarum tergemini fatalia carmina libri,
1.87	quos ter quinorum servat cultura virorum.
1.88	Ter bibe. tris numerus super omnia, tris deus unus.
1.89	hic quoque ne ludus numero transcurrat inerti,
1.90	ter decies ternos habeat deciesque novenos. 
