pr	Ausonius Paulo S. Perlege hoc etiam, si operae est, frivolum et nullius pretii opusculum, quod nec labor excudit nec cura limavit, sine ingenii acumine et morae maturitate. Centonem vocant, qui primi hac concinnatione luserunt. solae memoriae negotium sparsa colligere et integrare lacerata, quod ridere magis quam laudare possis, pro quo, si per sigillaria in auctione veniret, neque Afranius naucum daret, neque ciccum suum Plautus offerret, piget enim Vergiliani carminis dignitatem tam ioculari dehonestasse materia, sed quid facerem? iussum erat: quodque est potentissimum imperandi genus, rogabat, qui iubere poterat, sanctus imperator Valentinianus, vir meo iudicio eruditus, nuptias quondam eiusmodi ludo descripserat, aptis equidem versibus et compositione festiva. experiri deinde volens, quantum nostra contentione praecelleret, simile nos de eodem concinnare praecepit, quam scrupulosum hoc mihi fuerit, intellege: neque ante-ferri volebam neque posthaberi, cum aliorum quoque iudicio detegenda esset adulatio inepta, si cederem, insolentia, si ut aemulus eminerem. suscepi igitur similis recusanti feliciterque et obnoxius gratiam tenui nec victor offendi. Hoc, tum die uno et addita lucubratione propera-tum, modo inter liturarios meos cum reperissem, tanta mihi candoris tui et amoris fiducia est, ut severitati tuae nec ridenda subtraherem. accipe igitur opusculum de inconexis continuum, de diversis unum, de seriis ludicrum, de alieno nostrum: ne in sacris et fabulis aut Thyonianum mireris aut Virbium, illum de Dionyso, hunc de Hippolyto reformatum. Et si pateris, ut doceam docendus ipse, cento quid sit, absolvam. variis de locis sensibusque diversis quaedam carminis structura solidatur, in unum versum ut coeant aut caesi duo aut unus et sequens <medius> cum medio, nam duos iunctim locare ineptum est, et tres una serie merae nugae. diffinduntur autem per caesuras omnes, quas recipit versus heroicus, convenire ut possit aut penthemimeris cum reliquo anapaestico, aut trochaice cum posteriore segmento, aut septem semipedes cum anapaestico chorico, aut <ponatur> post dactylum atque semipedem quidquid restat hexametro: simile ut dicas ludicro, quod Graeci ostomachion vocavere. ossicula ea sunt: ad summam quattuordecim figuras geometricas habent, sunt enim aequaliter triquetra vel extentis lineis vel eiusdem frontis, vel rectis 1 angulis vel obliquis: isoscele ipsi vel isopleura vocant, orthogonia quoque et scalena. harum verticularum ariis coagmentis simulantur species mille formarum: helephantus belua aut aper bestia, anser volans et mirmillo in armis, subsidens venator et latrans canis, quin et turris et cantharus et alia huiusmodi innumerabilium figurarum, quae alius alio scientius variegant. sed peritorum concinnatio miraculum est, imperitorum iunctura ridiculum, quo praedicto scies, quod ego posteriorem imitatus sum. Hoc ergo centonis opusculum ut ille ludus tractatur, pari modo sensus diversi ut congruant, adoptiva quae sunt, ut cognata videantur, aliena ne interluceant: arcessita ne vim redarguant, densa ne supra modum protuberent, hiulca ne pateant. quae si omnia ita tibi videbuntur, ut praeceptum est, dices me composuisse centonem, et quia sub imperatore meo tum merui, procedere mihi inter frequentes stipendium iubebis: sin aliter, aere dirutum 1 facies, ut cumulo carminis in fiscum suum redacto redeant versus, unde venerunt, vale. 
65	omnibus in morem tonsa coma; pectore summo 
66	flexilis obtorti per collum circulus auri. 
67	TUM studio effusae matres ad limina ducunt; 
68	at chorus aequalis, pueri innuptaeque puellae, 
69	versibus incomptis ludunt et carmina dicunt: 
70	“O digno coniuncta viro, gratissima coniunx, 
71	sis felix, primos Lucinae experta labores 
72	et mater, cape Maeonii carchesia Bacchi. 
73	sparge, marite, nuces; cinge haec altaria vitta, 
74	flos veterum virtusque virum: tibi ducitur uxor, 
75	omnes ut tecum meritis pro talibus annos 
76	exigat et pulchra faciat te prole parentem. 
77	fortunati ambo, si quid pia numina possunt, 
78	vivite felices.” dixerunt " currite " fusis
79	concordes stabili fatorum numine Parcae. 
80	POSTQUAM est in thalami pendentia pumice tecta 
81	perventum, licito tandem sermone fruuntur. 
82	congressi iungunt dextras stratisque reponunt. 
83	at Cytherea novas artes et pronuba Iuno 
84	sollicitat suadetque ignota lacessere bella. 
85	ille ubi complexu molli fovet atque repente 
86	accepit solitam flammam lectumque iugalem: 
87	“ o virgo, nova mi facies, gratissima coniunx, 
88	venisti tandem, mea sola et sera voluptas. 
89	o dulcis coniunx, non haec sine numine divum 
90	proveniunt: placitone etiam pugnabis amori?” 
91	Talia dicentem iamdudum aversa tuetur 
92	cunctaturque metu telumque instare tremiscit 
93	spemque metumque inter funditque has ore loquelas: 
94	“ Per te, per, qui te talem genuere, parentes, 
95	o formose puer, noctem non amplius unam 
96	hanc tu, oro, solare inopem et miserere precantis. 
97	succidimus: non lingua valet, non corpore notae
98	sufficiunt vires, nec vox aut verba sequuntur.” 
99	ille autem: “ Causas nequiquam nectis inanes,” 
100	praecipitatque moras omnis solvitque pudorem. 
pa	Hactenus castis auribus audiendum mysterium nuptiale ambitu loquendi et circuitione velavi. verum quoniam et Fescenninos amat celebritas nuptialis verborumque petulantiam notus vetere instituto ludus admittit, cetera quoque cubiculi et lectuli operta prodentur ab eodem auctore collecta, ut bis erubescamus, qui et Vergilium faciamus impudentem. vos, si placet, hic iam legendi modum ponite: cetera curiosis relinquite.
101	POSTQUAM congressi sola sub nocte per umbram 
102	et mentem Venus ipsa dedit, nova proelia temptant, 
103	tollit se arrectum: conantem plurima frustra 
104	occupat os faciemque, pedem pede fervidus urget, 
105	perfidus alta petens: ramum, qui veste latebat, 
106	sanguineis ebuli bacis minioque rubentem 
107	nudato capite et pedibus per mutua nexis, 
108	monstrum horrendum, informe, ingens, cui lumen ademptum, 
109	eripit a femore et trepidanti fervidus instat. 
110	est in secessu, tenuis quo semita ducit, 
111	ignea rima micans: exhalat opaca mephitim. 
112	nulli fas casto sceleratum insistere limen. 
113	hic specus horrendum: talis sese halitus atris
114	faucibus effundens nares contingit odore. 
115	huc iuvenis nota fertur regione viarum 
116	et super incumbens nodis et cortice crudo
117	intorquet summis adnixus viribus hastam. 
118	haesit virgineumque alte bibit acta cruorem. 
119	insonuere cavae gemitumque dedere cavernae. 
120	illa manu moriens telum trahit, ossa sed inter 
121	altius ad vivum persedit vulnere mucro. 
122	ter sese attollens cubitoque innixa levavit,
123	ter revoluta toro est. manet imperterritus ille. 
124	nec mora nec requies: clavumque adfixus et haerens
125	nusquam amittebat oculosque sub astra tenebat. 
126	itque reditque viam totiens uteroque recusso 
127	transadigit costas et pectine pulsat eburno. 
128	iamque fere spatio extremo fessique sub ipsam
129	finem adventabant: tum creber anhelitus artus
130	aridaque ora quatit, sudor fluit undique rivis, 
131	labitur exanguis, destillat ab inguine virus. 
132	Contentus esto, Paule mi,
133	lasciva, Paule, pagina:
134	ridere, nil ultra, expeto.
co1	 Sed cum legeris, adesto mihi adversum eos, qui, ut Iuvenalis ait, “Curios simulant et Bacchanalia vivunt,” ne fortasse mores meos spectent de carmine. 
co2	“Lasciva est nobis pagina, vita proba,” ut Martialis dicit, meminerint autem, quippe eruditi, probissimo viro Plinio in poematiis lasciviam, in moribus constitisse censuram; prurire opusculum Sulpiciae, frontem caperare; esse Appuleium in vita philosophum, in epigrammatis amatorem; in praeceptis Ciceronis extare severitatem, in epistulis ad Caerelliam subesse petulantiam; Platonis Symposion composita in ephebos epyllia continere, nam quid Anniani Fescenninos, quid antiquissimi poetae Laevii Erotopaegnion libros loquar? quid Evenum, quem Menander sapientem vocavit? quid ipsum Menandrum? quid comicos omnes, quibus severa vita est et laeta materia? quid etiam Maronem Parthenien dictum causa pudoris, qui in octavo Aeneidos, cum describeret coitum Veneris atque Vulcani, atque αἰσχροσεμνίαν decenter immiscuit? quid? in tertio Georgicorum de summissis in gregem maritis nonne obscenam significationem honesta verborum translatione velavit? et si quid in nostro ioco aliquorum hominum severitas vestita condemnat, de Vergilio arcessitum sciat, igitur cui hic ludus noster non placet, ne legerit, aut cum legerit, obliviscatur, aut non oblitus ignoscat, etenim fabula de nuptiis est et, velit nolit, aliter haec sacra non constant. 
