pr.pr	 Ad rem pertinere existimavi, ut vel vanum opusculum materiae congruentis absolverem et libello, qui commemorationem habet eorum, qui vel peregrini Burdigalae vel 1 Burdigalenses peregre docuerunt, Epitaphia subnecterem scilicet titulos sepulcrales 2 heroum, qui bello Troico interfuerunt. Quae antiqua cum aput philologum quendam repperissem, Latino sermone converti, non ut inservirem ordinis persequendi studio 3 , set ut cohercerem libere nec aberrarem. 
9.4	quid mirum, caesa iam genetrice furens.
10.1	NEC me non dignum titulo Pleuronia credit,
10.2	quae 1 communis erat cum Diomede domus,
10.3	Euryalo et Sthenelo: nam tertius hoc ego regnum
10.4	possedi, de quo nunc satis est tumulus.
11.1	GUNEA pontus habet, tumulus sine corpore nomen.
11.2	fama homines inter, caelum animus repetit,
11.3	cuncta elementa duci tanto commune sepulcrum.
11.4	quae? caelum et tellus et mare et ora virum.
12.1	FATALE adscriptum nomen mihi Protesilao;
12.2	nam primus Danaum bello obii Phrygio,
12.3	audaci ingressus Sigeia litora saltu,
12.4	captus pellacis Lartiadae insidiis.
12.5	qui, ne Troianae premeret pede litora terrae, 
12.6	ipse super proprium desiluit clipeum,
12.7	quid queror? hoc letum iam tum mea fata canebant,
12.8	tale mihi nomen cum pater inposuit.
13.1	PRODITUS ad poenam sceleratae fraude Lacaenae
13.2	et deformato corpore Deiphobus
13.3	non habeo tumulum, nisi quem mihi voce vocantis
13.4	et pius Aeneas et Maro conposuit.
14.1	HECTORIS hic tumulus, cum quo sua Troia sepulta est:
14.2	conduntur pariter, qui periere simul.
15.1	FLOS Asiae tantaque unus de gente superstes,
15.2	parvulus, Argivis set iam de patre timendus,
15.3	hic iaceo Astyanax, Scaeis deiectus ab altis.
15.4	pro dolor! Iliaci Neptunia moenia muri
15.5	viderunt aliquid crudelius Hectore tracto. 
16.1	SARPEDON Lydus, genitus Iove, numine patris
16.2	sperabam caelum, set tegor hoc tumulo
16.3	sanguineis fletus lacrimis: pro ferrea fata,
16.4	et patitur luctum, qui prohibere potest.
17.1	NASTES Amphimachusque, Nomionis inclita proles,
17.2	ductores quondam, pulvis et umbra sumus.
18.1	HECTORE prostrato nec dis nec viribus aequis
18.2	congressus saevo Troilus Aeacidae,
18.3	raptatus bigis fratris coniungor honori,
18.4	cuius ob exemplum nec mihi poena gravis.
19.1	CEDE procul myrtumque istam fuge, nescius hospes:
19.2	telorum seges est sanguine adulta meo.
19.3	confixus iaculis et ab ipsa caede sepultus
19.4	condor in hoc tumulo bis Polydorus ego.
19.5	scit pius Aeneas et tu, rex impie, quod me 
19.6	Thracia poena premit, Troia cura tegit?
20.1	EUPHEMUM Ciconum ductorem Troia tellus
20.2	condidit hastati Martis ad effigiem,
20.3	nec satis est titulum saxo incidisse sepulcri;
20.4	insuper et frontem mole onerant statuae,
20.5	ocius ista ruunt, quae sic cumulata locantur: 
20.6	maior ubi est cultus, magna ruina subest.
21.1	HIPPOTHOUM Pyleumque tenet gremio infima tellus:
21.2	caulibus et malvis terga superna virent.
21.3	nec vexat cineres horti cultura quietos,
21.4	dum parcente manu molle holus excolitur.
22.1	ENNOMUS hic Chromiusque iacent: quis Mysia regnum
22.2	quis pater Alcinous Oceanusque atavus.
22.3	nobilitas quid tanta iuvat? quo clarius istis
22.4	est genus, hoc mortis condicio gravior.
23.1	HIC Priami non est tumulus nec condor in ista
23.2	sede: caput Danai deripuere meum.
23.3	ast ego cum lacerum sine nomine funus haberem,
23.4	confugi ad cineres Hectoreos genitor,
23.5	illic et natos Troiamque Asiamque sepultam
23.6	inveni et nostrum quidquid ubique iacet.
24.1	QUI tumulum Priami quaerit, legat Hectoris ante.
24.2	ille meus, nato quem prius ipse dedi.
24.3	XXIV A.- HECTORI 
24.4	HECTORIS et patriae simul est commune sepulcrum,
24.5	amborum quoniam iuncta ruina fuit.
25.1	QUAE regina fui, quae claro nata Dymante,
25.2	quae Priami coniunx, Hectora quae genui,
25.3	hic Hecuba iniectis perii superobruta saxis,
25.4	set rabie linguae me tamen ulta prius.
25.5	fidite ne regnis et prole et stirpe parentum, 
25.6	quicumque hoc nostrum σῆμα κυνὸς legitis.
26.1	TROAS Achilleo coniuncta Polyxena busto
26.2	malueram nullo caespite functa tegi.
26.3	non bene discordes tumulos miscetis, Achivi:
26.4	hoc violare magis, quam sepelire fuit.
27.1	THEBARUM regina fui, Sipyleia cautes
27.2	quae modo sum: laesi numina Letoidum.
27.3	bis septem natis genetrix laeta atque superba,
27.4	tot duxi mater funera, quot genui,
27.5	nec satis hoc divis: duro circumdata saxo 
27.6	amisi humani corporis effigiem;
27.7	set dolor obstructis quamquam vitalibus haeret
27.8	perpetuasque rigat fonte pio lacrimas,
27.9	pro facinus! tantaene animis caelestibus irae?
27.10	durat adhuc luctus, matris imago perit .
28.1	DIC, canis, hic cuius tumulus? — Canis.-At canis hic quis? — 
28.2	Diogenes.-Obiit? — Non obiit, set abit.-
28.3	Diogenes, cui pera penus, cui dolia sedes,
28.4	ad manes abiit? — Cerberus inde vetat.-
28.5	Et quonam? — Clari flagrat qua stella Leonis, 
28.6	additus est iustae nunc canis Erigonae.
29.1	PERA, polenta, tribon, baculus, scyphus, arta supellex
29.2	ista fuit Cynici: set putat hanc nimiam.
29.3	namque cavis manibus cernens potare bubulcum:
29.4	cur, scyphe, te, dixit, gesto supervacuum.
30.1	EFFIGIEM, rex Croese, tuam, ditissime regum,
30.2	vidit aput manes Diogenes Cynicus.
30.3	nil, inquit, tibi, Croese, tuum; superant mihi cuncta.
30.4	nudus eram: sic sum. nil habui: hoc habeo,
30.5	rex ait: Haud egui, cum tu, mendice, carebas 
30.6	omnibus; et careo, si modo non egeo?
31.1	SPARGE mero cineres bene olentis et unguine nardi,
31.2	hospes, et adde rosis balsama puniceis.
31.3	perpetuum mihi ver agit inlacrimabilis urna
31.4	et commutavi saecula, non obii.
31.5	nulla mihi veteris perierunt gaudia vitae, 
31.6	seu meminisse putes omnia, sive nihil.
32.1	UNA quidem, geminis fulget set dissita punctis
32.2	littera, praenomen sic L: nota sola facit,
32.3	post .M. inrisum est: puto sic M : non tota videtur:
32.4	dissiluit saxi fragmine laesus apex.
32.5	nec quisquam, MARIUS SEU MARCIUS ANNE METELLUS 
32.6	hic iaceat, certis noverit indiciis,
32.7	truncatis convulsa iacent elementa figuris,
32.8	omnia confusis interfere notis,
32.9	miremur periisse homines? monumenta fatiscunt
32.10	mors etiam saxis nominibusque venit. 
33.1	PHOSPHORE, clamosi spatiosa per aequora circi
33.2	septenas solitus victor obire vias,
33.3	inproperanter agens primos a carcere cursus,
33.4	fortis praegressis ut potereris equis,
33.5	promptum et veloces erat anticipare quadrigas: 
33.6	victores etiam vincere laus potior.
33.7	hunc titulum vani solacia sume sepulcri
33.8	et gradere Elysios praepes ad alipedes.
33.9	Pegasus hinc dexter currat tibi, laevus Arion
33.10	funis eat, quartum det tibi Castor equum. 
34.1	ME sibi et uxori et natis commune sepulcrum
34.2	constituit seras Carus ad exequias,
34.3	iamque diu monumenta vacant sitque ista querella
34.4	longior et veniat ordine quisque suo,
34.5	nascendi qui lege datus, placidumque per aevum 
34.6	condatur, natu qui prior, ille prior.
35.1	OMNIA quae longo vitae cupiuntur in aevo,
35.2	ante quater plenum consumpsit Anicia lustrum.
35.3	infans Iactavit, pubes et virgo adolevit.
35.4	nupsit, concepit, peperit, iam mater obivit.
35.5	quis mortem accuset? quis non accuset in ista? 
35.6	aetatis meritis anus est, aetate puella.
