pr.1	Post resides annos longo velut excita somno
1.29	nobilior titulus, quam tot potuisse paratas
1.30	in Latii praedam Geticas avertere fauces ? 
1.31	anne ego terrigenas potius mirabor in ipsis
1.32	procubuisse satis, vitae quibus attulit idem
1.33	principium finemque dies, quam caesa Getarum
1.34	agmina, quos tantis aluit Bellona tropaeis
1.35	totaque sub galeis Mavortia canuit aetas ? 
1.36	Per te namque unum mediis exuta tenebris
1.37	imperio sua forma redit, claustrisque solutae
1.38	tristibus exangues audent procedere leges,
1.39	iamque potestates priscus discriminat ordo
1.40	iustitiae, quas ante pares effecerat una 
1.41	nube timor. tua nos urgenti dextera leto
1.42	eripuit, tectisque suis redduntur et agris
1.43	damnati fato populi, virtute renati.
1.44	iam non in pecorum morem formidine clausi
1.45	prospicimus saevos campis ardentibus ignes 
1.46	alta nec incertis metimur flumina votis
1.47	excidio latura moram nec poscimus amnes
1.48	undosam servare fidem nubesque fugaces
1.49	aut coniuratum querimur splendere serenum.
1.50	Ipsa quoque internis furiis exercita plebis 
1.51	securas iam Roma leva tranquillior arces ;
1.52	surge, precor, veneranda parens, et certa secundis
1.53	fide deis, humilemque metum depone senectae.
1.54	urbs aequaeva polo, tum demum ferrea sumet
1.55	ius in te Lachesis, cum sic mutaverit axem 
1.56	foederibus natura novis, ut flumine verso
1.57	inriget Aegyptum Tanais, Maeotida Nilus,
1.58	Eurus ab occasu, Zephyrus se promat ab Indis
1.59	Caucasiisque iugis calido nigrantibus Austro
1.60	Gaetulas Aquilo glacie constringat harenas. 
1.61	Fatales hucusque manus, crebrisque notatae
1.62	prodigiis abiere minae. nec sidera pacem
1.63	semper habent, ipsumque Iovem turbante Typhoeo,
1.64	si fas est, tremuisse ferunt, cum brachia centum
1.65	montibus armaret totidem spiramque retorquens 
1.66	lamberet attonitas erectis anguibus Arctos.
1.67	quid mirum, si regna labor mortalia vexat,
1.68	cum gemini fratres, genuit quos asper Aloeus,
1.69	Martem subdiderint vinclis et in astra negatas
1.70	temptarint munire vias steteritque revulsis 
1.71	paene tribus scopulis caelesti machina bello ?
1.72	sed caret eventu nimius furor ; improba numquam
1.73	spes laetata diu, nec pervenere iuventae
1.74	robur Aloidae, dum vellere Pelion Otus
1.75	nititur, occubuit Phoebo, moriensque Ephialtes 
1.76	in latus obliquam proiecit languidus Ossam.
1.77	Adspice, Roma, tuum iam vertice celsior hostem,
1.78	adspice quam rarum referens inglorius agmen
1.79	Italia detrusus eat quantumque priori
1.80	dissimilis, qui cuncta sibi cessura ruenti 
1.81	pollicitus patrii numen iuraverat Histri
1.82	non nisi calcatis loricam ponere rostris.
1.83	o rerum fatique vices ! qui foeda parabat
1.84	Romanas ad stupra nurus, sua pignora vidit
1.85	coniugibus permixta trahi ; qui mente profundas 
1.86	hauserat urbis opes, ultro victoribus ipse
1.87	praeda fuit ; nostri quondam qui militis auro
1.88	adgressus temptare fidem, desertus ab omni
1.89	gente sua manibusque redit truncatus et armis.
1.90	Hoc quoque, quod veniam leti valuere mereri, 
1.91	si positis pendas odiis, ignoscere pulchrum
1.92	iam misero poenaeque genus vidisse precantem.
1.93	quae vindicta prior quam cum formido superbos
1.94	flectit et adsuetum spoliis adfligit egestas ?
1.95	sed magis ex aliis fluxit dementia causis, 
1.96	consulitur dum, Roma, tibi. tua cura coegit
1.97	inclusis aperire fugam, ne peior in arto
1.98	saeviret rabies venturae conscia mortis ;
1.99	nec tanti nomen stirpemque abolere Getarum,
1.100	ut propius peterere, fuit. procul arceat altus 
1.101	luppiter, ut delubra Numae sedesque Quirini
1.102	barbaries oculis saltem temerare profanis
1.103	possit et arcanum tanti deprendere regni.
1.104	Quamquam, si veterum certamina rite recorder,
1.105	tunc etiam, pulchra cum libertate vigerent 
1.106	et proprio late florerent milite patres,
1.107	semper ab his famae petiere insignia bellis,
1.108	quae diversa procul tuto trans aequora vires
1.109	exercere dabant : currus regumque catenae
1.110	inter abundantis fati ludibria ductae. 
1.111	at vero Italiam quotiens circumstetit atrox
1.112	tempestas ipsumque caput laesura pependit,
1.113	non illis vani ratio ventosa furoris,
1.114	sed graviter spectata salus ductorque placebat,
1.115	non qui praecipiti traheret semel omnia casu, 
1.116	sed qui mature vel laeta vel aspera rerum
1.117	consilio momenta regens, nec tristibus impar
1.118	nec pro successu nimius, spatiumque morandi
1.119	vincendique modum mutatis nosset habenis.
1.120	cautius ingentes morbos et proxima cordi 120
1.121	ulcera Paeoniae tractat sollertia curae
1.122	parcendoque secat, ferro ne largius acto
1.123	inrevocandus eat sectis vitalibus error.
1.124	Sublimi certe Curium canit ore vetustas,
1.125	Aeaciden Italo pepulit qui litore Pyrrhum, 
1.126	nec magis insignis Pauli Mariique triumphus,
1.127	qui captos niveis reges egere quadrigis ;
1.128	plus fuga laudatur Pyrrhi quam vincla Iugurthae ;
1.129	et, quamvis gemina fessum iam clade fugavit,
1.130	post Decii lituos et nulli pervia culpae 
1.131	pectora Fabricii, donis invicta vel armis,
1.132	plena datur Curio pulsi victoria Pyrrhi.
1.133	quanto maius opus solo Stilichone peractum
1.134	cernimus ! hic validam gentem, quam dura nivosis
1.135	educat Ursa plagis, non Chaonas atque Molossos, 
1.136	quos Epirus alit, nec Dodonaea subegit
1.137	agmina fatidicam frustra iaetantia quercum.
1.138	Primus fulmineum lento luctamine Poenum
1.139	compressit Fabius, campo post ausus aperto
1.140	Marcellus vinci docuit, sed tertia virtus 
1.141	Scipiadae Latiis tandem deterruit oris,
1.142	unus in hoc Stilicho diversis artibus hoste
1.143	tris potuit complere duces fregitque furentem
1.144	cunctando vicitque manu victumque relegat.
1.145	Atque haec tanta brevi. miscentem incendia Pyrrhum
1.146	sustinuit toto maerens Oenotria lustro, 
1.147	et prope ter senas Itali per graminis herbas
1.148	Massylus Poeno sonipes vastante cucurrit
1.149	Hannibalemque senem vix ad sua reppulit arva
1.150	vindex sera patrum post bellum nata iuventus. 
1.151	hic celer effecit, bruma ne longior una
1.152	esset hiems rerum, primis sed mensibus aestas
1.153	temperiem caelo pariter patriaeque 1 referret.
1.154	Sed quid ego Hannibalem contra Pyrrhumque tot annis
1.155	certatum memorem, vilis cum Spartacus omne 
1.156	per latus Italiae ferro bacchatus et igni
1.157	consulibusque palam totiens congressus inertes
1.158	exuerit castris dominos et strage pudenda
1.159	fuderit imbelles aquilas servilibus armis ?
1.160	nos terrorum expers et luxu mollior aetas 
1.161	deficimus queruli, si bos abductus aratro,
1.162	si libata seges. non hanc ergastula nobis
1.163	inmisere manum nec coniurantis harenae
1.164	turba fuit ; qualem Stilicho deiecerit hostem,
1.165	Thraces et Haemonii poterunt Moesique fateri. 
1.166	Frigida ter decies nudatum frondibus Haemum
1.167	tendit hiems vestire gelu totiensque solutis
1.168	ver nivibus viridem monti reparavit amictum,
1.169	ex quo iam patrios gens haec oblita Triones
1.170	atque Histrum transvecta semel vestigia fixit 
1.171	Threicio funesta solo, seu fata vocabant
1.172	seu gravis ira deum, seriem meditata ruinis,
1.173	ex illo, quocumque vagos impegit Erinys,
1.174	grandinis aut morbi ritu per devia rerum,
1.175	praecipites per clausa ruunt, nec contigit ullis 
1.176	amnibus aut scopulis proprias defendere terras,
1.177	nil Rhodope, nil vastus Athos, nil profuit Hebrus
1.178	Odrysiis ; facili contemptum Strymona saltu
1.179	et frustra rapidum damnant Haliacmona Bessi.
1.180	nubibus intactum Macedo miratur Olympum 
1.181	more pererratum campi ; gemit inrita Tempe
1.182	Thessalus et domitis inrisam cautibus Oeten.
1.183	Sperchiusque et virginibus dilectus Enipeus
1.184	barbaricas lavere comas, non obice Pindi
1.185	servati Dryopes nec nubifer Actia texit 
1.186	litora Leucates ; ipsae, quae durius olim
1.187	restiterant Medis, primo conamine ruptae
1.188	Thermopylae ; vallata mari Scironia rupes
1.189	et duo continuo conectens aequora muro
1.190	Isthmos et angusti patuerunt claustra Lechaei : 
1.191	nec tibi Parrhasios licuit munire colonos
1.192	frondosis, Erymanthe, iugis, equitataque summi
1.193	culmina Taygeti trepidae vidistis Amyclae.
1.194	Tandem supplicium cunctis pro montibus Alpes
1.195	exegere Getas ; tandem tot flumina victor 
1.196	vindicat Eridanus. docuit nunc exitus alte
1.197	fatorum secreta regi. quisquamne reclusis
1.198	Alpibus ulterius Latii fore credidit umbram ?
1.199	nonne velut capta rumor miserabilis urbe
1.200	trans freta, trans Gallos Pyrenaeumque cucurrit ? 
1.201	Famaque nigrantes succincta pavoribus alas
1.202	secum cuncta trahens a Gadibus usque Britannum
1.203	terruit Oceanum et nostro procul axe remotam
1.204	insolito belli tremefecit murmure Thylen ?
1.205	Mandemusne Noti flabris quoscumque timores 
1.206	pertulimus, festae doleant ne tristibus aures ?
1.207	an potius meminisse iuvat semperque vicissim
1.208	gaudia praemissi cumulant inopina dolores ?
1.209	utque sub occidua iactatis Pleiade nautis
1.210	commendat placidum maris inclementia portum, 
1.211	sic mihi tunc maior Stilicho, cum laeta periclis
1.212	metior atque illi redeunt in corda tumultus.
1.213	Nonne videbantur, quamvis adamante rigentes,
1.214	turribus invalidis fragiles procumbere muri
1.215	ferrataeque Getis ultro se pandere portae ? 
1.216	nec vallum densaeque sudes arcere volantes
1.217	cornipedum saltus ? iamiam conscendere puppes
1.218	Sardoniosque habitare sinus et inhospita Cyrni
1.219	saxa parant vitamque freto spumante tueri.
1.220	ipsa etiam diffisa brevi Trinacria ponto, 
1.221	si rerum natura sinat, discedere longe
1.222	optat et Ionium refugo laxare Peloro.
1.223	fultaque despiciens auro laquearia dives
1.224	tutior Aeoliis mallet vixisse cavernis ;
1.225	iamque oneri creduntur opes tandemque libido 
1.226	haesit avaritiae gravioribus obruta curis.
1.227	utque est ingenioque loquax et plurima fingi
1.228	permittens credique timor, tunc somnia vulgo
1.229	narrari, tunc monstra deum monitusque sinistri :
1.230	quid meditentur aves, quid cum mortalibus aether
1.231	fulmineo velit igne loqui, quid carmine poscat 
1.232	fatidico custos Romani carbasus aevi.
1.233	territat adsiduus lunae labor atraque Phoebe
1.234	noctibus aerisonas crebris ululata per urbes.
1.235	nec credunt vetito fraudatam Sole sororem 
1.236	telluris subeunte globo, sed castra secutas
1.237	barbara Thessalidas patriis lunare venenis
1.238	incestare iubar. tunc anni signa prioris
1.239	et si quod fortasse quies neglexerat omen,
1.240	addit cura novis : lapidosos grandinis ictus 
1.241	molitasque examen apes passimque crematas
1.242	perbacchata domos nullis incendia causis
1.243	et numquam caelo spectatum impunc cometem,
1.244	qui primum roseo Phoebi prolatus ab ortu,
1.245	qua micat astrigera senior cum coniuge Cepheus; 
1.246	inde Lycaoniam paulatim expulsus ad Arcton
1.247	crine vago Getici foedavit sidera Plaustri,
1.248	donec in exiguum moriens vanesceret ignem.
1.249	Sed gravius mentes caesorum ostenta luporum
1.250	horrificant. duo quippe lupi sub principis ora, 
1.251	dum campis exercet equos, violenter adorti
1.252	agmen et excepti telis inmane relatu
1.253	prodigium miramque notam duxere futuri.
1.254	nam simul humano geminas de corpore palmas
1.255	utraque perfossis emisit belua costis : 
1.256	illo laeva tremens, hoc dextera ventre latebat
1.257	intentis ambae digitis et sanguine vivo,
1.258	scrutari si vera velis, fera nuntia Martis
1.259	ora sub Augusti casurum prodidit hostem,
1.260	utque manus utero virides patuere retecto, 
1.261	Romula post ruptas virtus sic emicat Alpes.
1.262	sed malus interpres rerum metus omne trahebat
1.263	augurium peiore via, truncataque membra
1.264	nutricemque lupam Romae regnoque minari.
1.265	tunc reputant annos interceptoque volatu 
1.266	vulturis incidunt properatis saecula metis.
1.267	Solus erat Stilicho, qui desperantibus augur
1.268	sponderet meliora manu, dubiaeque salutis
1.269	dux idem vatesque fuit. durate parumper 
1.270	inquit “et excussis muliebribus ore querellis 
1.271	fatorum toleremus onus, nil nautica prosunt
1.272	turbatae lamenta rati nec segnibus undae
1.273	planctibus aut vanis mitescunt flamina votis.
1.274	nunc instare manu, toto nunc robore niti
1.275	communi pro luce decet : succurrere velis, 
1.276	exhaurire fretum, varios aptare rudentes
1.277	omnibus et docti iussis parere magistri.
1.278	non, si perfidia nacti penetrabile tempus
1.279	inrupere Getae, nostras dum Raetia vires
1.280	occupat atque alio desudant Marte cohortes, 
1.281	idcirco spes omnis abit. mirabile posset
1.282	esse mihi, si fraude nova vel calle reperto
1.283	barbarus ignotas invaderet inscius Alpes ;
1.284	nunc vero geminis clades repetita tyrannis
1.285	famosum vulgavit iter nec nota fefellit 
1.286	semita praestructum bellis civilibus hostem.
1.287	per solitas venere vias, aditusque sequendos
1.288	barbarico Romana dedit discordia bello.
1.289	Sed nec praeteritis haec res incognita saeclis :
1.290	saepe lacessitam, sed non impune, fatemur 
1.291	Ausoniam. haec Senonum restinxit sanguine flammas,
1.292	haec et Teutonico quondam patefacta furori
1.293	colla catenati vidit squalentia Cimbri.
1.294	vile decus, quod non erexit praevius horror ;
1.295	ingentes generant discrimina magna triumphos.
1.296	Quid turpes iam mente fugas, quid Gallica rura
1.297	respicitis Latioque libet post terga relicto
1.298	longinquum profugis Ararim praecingere castris ?
1.299	scilicet Arctois concessa gentibus urbe
1.300	considet regnum Rhodano capitique superstes 
1.301	truncus erit ? vestros stimulant si pignora sensus,
1.302	me quoque non impar naturae cura remordet,
1.303	nec ferro sic corda rigent ut nosse recusem
1.304	quam sanctum soceri nomen, quam dulce mariti,
1.305	quantus prolis amor, sed numquam oblita decoris
1.306	obscaenam latebram pietas ignava requiret. 
1.307	nec vobis fortis monitor, mihi cautior uni :
1.308	hic coniunx, hic progenies, hic carior omni
1.309	luce gener ; pars nulla mei subducta procellae.
1.310	accipe tu nostrae, tellus Oenotria, mentis 
1.311	vincula communes tecum subeuntia casus,
1.312	exiguamque moram muris impende tuendis,
1.313	dum redeo lectum referens in classica robur.”
1.314	His dictis pavidi firmavit inertia vulgi
1.315	pectora migrantisque fugam compescuit aulae ; 
1.316	ausaque tum primum tenebris emergere pulsis
1.317	Hesperia, ut secum iunxisse pericula vidit
1.318	Augustum, tantoque sui stetit obside fati.
1.319	protinus, umbrosa vestit qua litus oliva
1.320	Larius et dulci mentitur Nerea fluctu, 
1.321	parva puppe lacum praetervolat ; ocius inde
1.322	scandit inaccessos brumali sidere montes
1.323	nil hiemis caelive memor. sic ille relinquens
1.324	ieiunos antro catulos inmanior exit
1.325	hiberna sub nocte leo tacitusque per altas 
1.326	incedit furiale nives ; stant colla pruinis
1.327	aspera ; flaventes adstringit stiria saetas ;
1.328	nec meminit leti nimbosve aut frigora curat,
1.329	dum natis alimenta parat. Sublimis in Arcton
1.330	prominet Hercyniae confinis Raetia silvae, 
1.331	quae se Danuvii iactat Rhenique parentem
1.332	utraque Romuleo praetendens flumina regno :
1.333	primo fonte breves, alto mox gurgite regnant
1.334	et fluvios cogunt unda coeunte minores
1.335	in nomen transire suum. te Cimbrica Tethys 
1.336	divisum bifido consumit, Rhene, meatu ;
1.337	Thracia quinque vadis Histrum vorat Amphitrite :
1.338	ambo habiles remis, ambo glacialia secti
1.339	tergo rotis, ambo Boreae Martique sodales.
1.340	sed latus, Hesperiae quo Raetia iungitur orae, 
1.341	praeruptis ferit astra iugis panditque tremendam
1.342	vix aestate viam. multi ceu Gorgone visa
1.343	obriguere gelu ; multos hausere profundae
1.344	vasta mole nives, cumque ipsis saepe iuvencis
1.345	naufraga candenti merguntur plaustra barathro. 
1.346	interdum subitam glacie labente ruinam
1.347	mons dedit et tepidis fundamina subruit astris
1.348	pendenti male fida solo. Per talia tendit
1.349	frigoribus mediis Stilicho loca. nulla Lyaei
1.350	pocula ; rara Ceres ; raptos contentus in armis 
1.351	delibasse cibos madidoque oneratus amictu
1.352	algentem pulsabat equum. nec mollia fesso
1.353	strata dedere torum ; tenebris si caeca repressit
1.354	nox iter, aut spelaea subit metuenda ferarum
1.355	aut pastorali iacuit sub culmine fultus 
1.356	cervicem clipeo. stat pallidas hospite magno
1.357	pastor et ignoto praeclarum nomine vultum
1.358	rustica sordenti genetrix ostendit alumno.
1.359	illa sub horrendis praedura cubilia silvis,
1.360	illi sub nivibus somni curaeque laborque 
1.361	pervigil hanc requiem terris, haec otia rebus
1.362	insperata dabant ; illae tibi, Roma, salutem
1.363	Alpinae peperere casae. Iam foedera gentes
1.364	exuerant Latiique audita clade feroces
1.365	Vindelicos saltus et Norica rura tenebant. 
1.366	ac veluti famuli, mendax quos mortis erilis
1.367	nuntius in luxum falso rumore resolvit,
1.368	dum marcent epulis atque inter vina chorosque
1.369	persultat vacuis effrena licentia tectis,
1.370	si reducem dominum sors improvisa revexit, 
1.371	haerent attoniti libertatemque perosus
1.372	conscia servilis praecordia concutit horror :
1.373	sic ducis adspectu cuncti stupuere rebelles,
1.374	inque uno princeps Latiumque et tota refulsit
1.375	Roma viro. frons laeta parum, non tristior aequo,
1.376	non deiecta malis, mixta sed nobilis ira : 
1.377	qualis in Herculeo, quotiens infanda iubebat
1.378	Eurystheus, fuit ore dolor vel qualis in atram
1.379	sollicitus nubem maesto Iove cogitur aether.
1.380	Tantane vos inquit “Getici fiducia belli 
1.381	erigit ? hinc animo frustra tumuistis inani ?
1.382	non ita Romanum fati violentia nomen
1.383	opprimit, ut vestros nequeat punire tumultus
1.384	parte sui. ne vos longe sermone petito
1.385	demorer, exemplum veteris cognoscite facti : 
1.386	cum ferus Ausonias perfringeret Hannibal arces
1.387	et Trebiam saevo geminassent funere Cannae,
1.388	nequiquam Emathium pepulit spes vana Philippum,
1.389	ut velut adflictos ferro temptaret inerti.
1.390	Romanos commovit atrox iniuria patres, 
1.391	urgerent maiora licet, graviterque tulere,
1.392	urbibus inter se claris de culmine rerum
1.393	congressis, aliquid gentes audere minores.
1.394	nec poenam differre placet, sed bella gerenti
1.395	Punica Laevino regis quoque proelia mandant. 
1.396	paruit imperiis consul, fususque Philippus,
1.397	vilia dum gravibus populis interserit arma,
1.398	praetereunte manu didicit non esse potentum
1.399	temptandas, mediis quamvis in luctibus, iras.”
1.400	Hoc monitu pariter nascentia bella repressit 
1.401	et belle quaesivit opes legitque precantes
1.402	auxilio mensus numerum, qui congruus esset
1.403	nec gravis Italiae formidandusve regenti.
1.404	Nee minus accepto nostrae rumore cohortes
1.405	(sic ducis urget amor) properantibus undique signis
1.406	conveniunt, visoque animi Stilichone recepti 
1.407	singultus varios lacrimosaque gaudia miscent :
1.408	sic armenta boum, vastis quae turbida silvis
1.409	sparsit hiems, cantus ac sibila nota magistri
1.410	certatim repetunt et avitae pascua vallis 
1.411	inque vicem se voce regunt gaudentque fideles
1.412	reddere mugitus et, qua sonus attigit aurem,
1.413	rara per obscuras adparent cornua frondes.
1.414	adcurrit vicina manus, quam Raetia nuper
1.415	Vandalicis auctam spoliis defensa probavit ; 
1.416	venit et extremis legio praetenta Britannis,
1.417	quae Scotto dat frena truci ferroque notatas
1.418	perlegit examines Picto moriente figuras ;
1.419	agmina quin etiam flavis obiecta Sygambris
1.420	quaeque domant Chattos inmansuetosque Cheruscos,
1.421	huc omnes vertere minas tutumque remotis 
1.422	excubiis Rhenum solo terrore relinquunt.
1.423	ullane posteritas credet ? Germania quondam
1.424	ilia ferox populis, quae vix instantibus olim
1.425	principibus tota poterat cum mole teneri, 
1.426	iam sese placidam praebet Stilichonis habenis,
1.427	ut nec praesidiis nudato limite temptet
1.428	expositum calcare solum nec transeat amnem,
1.429	incustoditam metuens attingere ripam.
1.430	Celsior o cunctis unique aequande Camillo ! 
1.431	vestris namque armis Alarici fracta quievit
1.432	ac Brenni rabies ; confusis rebus uterque
1.433	divinam tribuistis opem, sed tardior ille
1.434	iam captae vindex patriae, tu sospitis ultor.
1.435	o quantum mutata tuo fortuna regressu ! 
1.436	ut sese pariter diffudit in omnia regni
1.437	membra vigor vivusque redit color urbibus aegris !
1.438	creditur Herculeis lucem renovasse lacertis
1.439	femina dilecti fatis impensa mariti ;
1.440	et iuvenem spretae laniatum fraude novercae 
1.441	non sine Circaeis Latonia reddidit herbis.
1.442	Cretaque, si verax narratur fabula, vidit
1.443	Minoum rupto puerum prodire sepulchrο,
1.444	quem senior vates avium clangore repertum
1.445	gramine restituit : mirae nam munere sortis 
1.446	dulcia mella necem, vitam dedit horridus anguis.
1.447	at tuus adventus non unum corpus ab umbris,
1.448	sed tot communi populos sub morte iacentes
1.449	totaque Tartareis e faucibus oppida traxit.
1.450	Ipso Roma die (nec adhuc ostenditur auctor) 
1.451	personuit venisse ducem, laetisque Quirites
1.452	vocibus auspicium certi plausere triumphi,
1.453	muniti Stilichone suo. quis gaudia vero
1.454	principis, amplexus alacris quis disserat aulae ?
1.455	pulveris ambiguam nubem speculamur ab altis 
1.456	turribus, incerti socios adportet an hostes
1.457	ille globus, mentem suspensa silentia librant,
1.458	donec pulvereo sub turbine sideris instar
1.459	emicuit Stilichonis apex et cognita fulsit
1.460	canities, gavisa repens per moenia clamor 
1.461	tollitur ipse venit. portas secura per omnes
1.462	turba salutatis effunditur obvia signis.
1.463	non iam dilectus miseri nec falce per agros
1.464	deposita iaculum vibrans ignobile messor
1.465	nec temptat 1 clipeum proiectis sumere rastris 
1.466	Bellona ridente Ceres humilisque novorum
1.467	seditio clamosa ducum : sed vera iuventus,
1.468	verus ductor adest et vivida Martis imago.
1.469	Prospera sed quantum nostrae spes addita menti,
1.470	tantum exempta Getis, qui vertice proximus astris
1.471	post Alpes iam cuncta sibi promisit apertas 
1.472	nil superesse ratus, postquam tot lumina pubis,
1.473	tot subitos pedites, equitum tot conspicit alas
1.474	cinctaque fluminibus crebris ac moenibus arva
1.475	seque velut clausum laqueis, sub pectore furtim 
1.476	aestuat et nimium prono fervore petitae
1.477	iam piget Italiae, sperataque Roma teneri
1.478	visa procul. magni subeunt iam taedia coepti.
1.479	occultat tamen ore metum primosque suorum
1.480	consultare iubet bellis annisque verendos. 
1.481	crinigeri sedere patres, pellita Getarum
1.482	curia, quos plagis decorat numerosa cicatrix
1.483	et tremulos regit hasta gradus et nititur altis
1.484	pro baculo contis non exarmata senectus.
1.485	hic aliquis gravior natu, cui plurima dictis 
1.486	consiliisque fides, defixus lumina terrae
1.487	concutiensque comam capuloque adclinis eburno :
1.488	Si numero non fallor ait “tricesima currit
1.489	bruma fere, rapidum postquam transnavimus Histrum,
1.490	Romanamque manum tantis eludimus annis. 
1.491	sed numquam Mavors adeo constrinxit in artum
1.492	res, Alarice, tuas. per tot certamina docto
1.493	crede seni, qui te tenero vice patris ab aevo
1.494	gestatum parva solitus donare pharetra
1.495	atque aptare breves umeris puerilibus arcus : 
1.496	saepe quidem frustra monui, servator ut icti
1.497	foederis Emathia tutus tellure maneres ;
1.498	sed quoniam calidae rapuit te flamma iuventae,
1.499	nunc saltem, si cura tibi manet ulla tuorum,
1.500	his claustris evade, precor, dumque agmina longe,
1.501	dum licet, Hesperiis praeceps elabere terris, 
1.502	ne nova praedari cupiens et parta reponas
1.503	pastorique lupus scelerum delicta priorum
1.504	intra saepta luas. quid palmitis uber Etrusci,
1.505	quid mihi nescioquam proprio cum Thy bride Romam
1.506	semper in ore geris ? referunt si vera parentes, 
1.507	hanc urbem insano nullus qui Marte petivit
1.508	laetatus violasse redit ; nec numina sedem
1.509	destituunt : iactata procul dicuntur in hostem
1.510	fulmina divinique volant pro moenibus ignes, 
1.511	seu caelum seu Roma tonat. si temnis Olympum,
1.512	a magno Stilichone cave, qui semper iniquos
1.513	Fortuna famulante premit. scis ipse, per oras
1.514	Arcadiae quam densa rogis cumulaverit ossa,
1.515	sanguine quam largo Graios calefecerit amnes ; 
1.516	extinctusque fores, ni te sub nomine legum
1.517	proditio regnique favor texisset Eoi.”
1.518	Talia grandaevum flammata fronte loquentem
1.519	obliquisque tuens oculis non pertulit ultra,
1.520	sed rupit rabidas accensa superbia voces : 
1.521	“Si non mentis inops fraudataque sensibus aetas
1.522	praeberet veniam, numquam haec opprobria linguae
1.523	turpia Danuvius me sospite ferret inultus.
1.524	anne, tot Augustos Hebro qui teste fugavi,
1.525	te patiar suadente fugam, cum cesserit omnis 
1.526	obsequiis natura meis ? subsidere nostris
1.527	sub pedibus montes, arescere vidimus amnes.
1.528	non ita di Getici faxint manesque parentum,
1.529	ut mea converso relegam vestigia cursu.
1.530	hanc ego vel victor regno vel morte tenebo 
1.531	victus humum. per tot populos urbesque cucurri,
1.532	fregi Alpes galeisque Padum victricibus hausi :
1.533	quid restat nisi Roma mihi ? gens robore nostra
1.534	tum quoque pollebat, nullis cum fideret armis.
1.535	at nunc lllyrici postquam mihi tradita iura 
1.536	meque suum fecere ducem, tot tela, tot enses,
1.537	tot galeas multo Thracum sudore paravi
1.538	inque meos usus vectigal vertere ferri
1.539	oppida legitime iussu Romana coegi.
1.540	sic me fata fovent ; ipsi, quos omnibus annis 
1.541	vastabam, servire dati : nocitura gementes
1.542	arma dabant flammisque diu mollitus et arte
1.543	in sua damna chalybs fabro lugente rubebat.
1.544	hortantes his adde deos. non somnia nobis
1.545	nec volucres, sed clara palam vox edita luco : 
1.546	“rumpe omnes, Alarice, moras ; hoc impiger anno
1.547	Alpibus Italiae ruptis penetrabis ad urbem.”
1.548	huc iter usque datur. quis iam post talia segnis
1.549	ambigat aut caelo dubitet parere vocanti ? ”
1.550	Sic ait hortatusque suos belloque viaeque 
1.551	instruit. attollunt vanos oracula fastus.
1.552	o semper tacita sortes ambage malignae
1.553	eventuque patens et nescia vatibus ipsis
1.554	veri sera fides ! Ligurum regione suprema
1.555	pervenit ad fluvium miri cognominis Urbem, 
1.556	atque illic domitus vix tandem interprete casu
1.557	agnovit dubiis inlusa vocabula fatis.
1.558	Nee non et Stilicho pugnam poscentia movit
1.559	pleno castra gradu dictisque instigat euntes :
1.560	“nunc nunc, o socii, temeratae sumite tandem 
