pr.1	Audebisne, precor, tantae subiecta catervae,
1.62	iam secura petit privatum gloria portum,
1.63	ingenii redeunt fructus aliique labores,
1.64	et vitae pars nulla perit: quodcumque recedit
1.65	litibus, incumbit studiis, animusque vicissim 
1.66	aut curam imponit populis aut otia Musis.
1.67	omnia Cecropiae relegis secreta senectae
1.68	discutiens, quid quisque novum mandaverit aevo
1.69	quantaque diversae producant agmina sectae.
1.70	Namque aliis princeps rerum disponitur aer; 
1.71	hic confidit aquis; hic procreat omnia flammis.
1.72	alter in Aetnaeas casurus sponte favillas
1.73	dispergit revocatque deum rursusque receptis
1.74	nectit amicitiis quidquid discordia solvit.
1.75	corporis hic damnat sensus verumque videri 
1.76	pernegat. hic semper lapsurae pondera terrae
1.77	conatur rapido caeli fulcire rotatu
1.78	accenditque diem praerupti turbine saxi.
1.79	ille ferox unoque tegi non passus Olympo
1.80	inmensum per inane volat finemque perosus 
1.81	parturit innumeros angusto pectore mundos.
1.82	hi vaga collidunt caecis primordia plagis.
1.83	numina constituunt alii casusque relegant.
1.84	Graiorum obscuras Romanis floribus artes
1.85	inradias, vicibus gratis formare loquentes 
1.86	suetus et alterno verum contexere nodo.
1.87	quidquid Socratico manavit ab ordine, quidquid
1.88	docta Cleantheae sonuerunt atria turbae,
1.89	inventum quodcumque tuo, Chrysippe, recessu,
1.90	quidquid Democritus risit dixitque tacendo 
1.91	Pythagoras, uno se pectore cuncta vetustas
1.92	condidit et maior collectis viribus exit,
1.93	ornantur veteres et nobiliore magistro
1.94	in Latium spretis Academia migrat Athenis,
1.95	ut tandem propius discat, quo fine beatum 
1.96	dirigitur, quae norma boni, qui limes honesti;
1.97	quaenam membra sui virtus divisa domandis
1.98	obiectet vitiis; quae pars iniusta recidat,
1.99	quae vincat ratione metus, quae frenet amores;
1.100	aut quotiens elementa doces semperque fluentis 
1.101	materiae causas: quae vis animaverit astra
1.102	impuleritque choros; quo vivat machina motu;
1.103	sidera cur septem retro nitantur in ortus
1.104	obluctata polo; variisne meatibus idem
1.105	arbiter an geminae convertant aethera mentes;
1.106	sitne color proprius rerum, lucisne repulsu 
1.107	eludant aciem; tumidos quae luna recursus
1.108	nutriat Oceani; quo fracta tonitrua vento,
1.109	quis trahat imbriferas nubes, quo saxa creentur
1.110	grandinis; unde rigor nivibus; quae flamma per auras 
1.111	excutiat rutilos tractus aut fulmina velox
1.112	torqueat aut tristem figat crinita cometem.
1.113	Iam tibi compositam fundaverat ancora puppim,
1.114	telluris iam certus eras; fecunda placebant
1.115	otia; nascentes ibant in saecula libri: 
1.116	cum subito liquida cessantem vidit ab aethra
1.117	Iustitia et tanto viduatas iudice leges,
1.118	continuo frontem limbo velata pudicam
1.119	deserit Autumni portas, qua vergit in Austrum
1.120	Signifer et noctis reparant dispendia Chelae. 
1.121	pax avibus, quacumque volat, rabiemque frementes
1.122	deposuere ferae; laetatur terra reverso
1.123	numine, quod prisci post tempora perdidit auri.
1.124	ilia per occultum Ligurum se moenibus infert
1.125	et castos levibus plantis ingressa penates 
1.126	invenit aetherios signantem pulvere cursus,
1.127	quos pia sollicito deprendit pollice Memphis:
1.128	quae moveant momenta polum, quam certus in astris
1.129	error, quis tenebras solis causisque meantem
1.130	defectum indicat numerus, quae linea Phoeben 
1.131	damnet et excluso pallentem fratre relinquat.
1.132	ut procul adspexit fulgentia Virginis ora
1.133	cognovitque deam, vultus veneratus amicos
1.134	occurrit scriptaeque notas confundit harenae.
1.135	Tum sic diva prior: “Manli, sincera bonorum 
1.136	congeries, in quo veteris vestigia recti
1.137	et ductos video mores meliore metallo:
1.138	iam satis indultum studiis, Musaeque tot annos
1.139	eripuere mihi. pridem te iura reposcunt:
1.140	adgredere et nostro rursum te redde labori 
1.141	nec tibi sufficiat transmissae gloria vitae.
1.142	humanum curare genus quis terminus umquam
1.143	praescripsit? nullas recipit prudentia metas.
1.144	adde quod haec multis potuit contingere sedes,
1.145	sed meriti tantum redeunt actusque priores 
1.146	commendat repetitus honos, virtusque reducit
1.147	quos fortuna legit.1 melius magnoque petendum
1.148	credis in abstrusa rerum ratione morari?
1.149	scilicet ilia tui patriam praecepta Platonis
1.150	erexere magis, quam qui responsa secutus 
1.151	obruit Eoas classes urbemque carinis
1.152	vexit et arsuras Medo subduxit Athenas?
1.153	Spartanis potuit robur praestare Lycurgus
1.154	matribus et sexum leges vicere severae
1.155	civibus et vetitis ignavo credere muro 
1.156	tutius obiecit nudam Lacedaemona bellis:
1.157	at non Pythagorae monitus annique silentes
1.158	famosum Oebalii luxum pressere Tarenti.
1.159	Quis vero insignem tanto sub principe curam
1.160	respuat? aut quando meritis maiora patebunt 
1.161	praemia? quis demens adeo qui iungere sensus
1.162	cum Stilichone neget? similem quae protulit aetas
1.163	consilio vel Marte virum? nunc Brutus amaret
1.164	vivere sub regno, tali succumberet aulae
1.165	Fabricius, cuperent ipsi servire Catones. 
1.166	nonne vides, ut nostra soror Clementia tristes
1.167	obtundat gladios fratresque amplexa serenos
1.168	adsurgat Pietas, fractis ut lugeat armis
1.169	Perfidia et laceris morientes crinibus hydri
1.170	lambant invalido Furiarum vincla veneno? 
1.171	exultat cum Pace Fides, iam sidera cunctae
1.172	liquimus et placidas inter discurrimus urbes.
1.173	nobiscum, Theodore, redi.”Subit ille loquentem
1.174	talibus: “agrestem dudum me, diva, reverti
1.175	cogis et infectum longi rubigine ruris 
1.176	ad tua signa vocas. nam quae mihi cura tot annis
1.177	altera quam duras sulcis mollire novales,
1.178	nosse soli vires, nemori quae commoda rupes,
1.179	quis felix oleae tractus, quae glaeba faveret
1.180	frugibus et quales tegeret vindemia colles? 
1.181	terribiles rursum lituos veteranus adibo
1.182	et desueta vetus temptabo caerula vector?
1.183	collectamque diu et certis utcumque locatam
1.184	sedibus in dubium patiar deponere famam?
1.185	nec me, quid valeat natura fortior usus, 
1.186	praeterit aut quantum neglectae defluat arti.
1.187	desidis aurigae non audit verbera currus,
1.188	nec manus agnoscit quem non exercuit arcum.
1.189	esse sed iniustum fateor quodcumque negatur
1.190	iustitiae. tu prima hominem silvestribus antris 
1.191	elicis et foedo deterges saecula victu.
1.192	te propter colimus leges animosque ferarum
1.193	exuimus. nitidis quisquis te sensibus hausit,
1.194	inruet intrepidus flammis, hiberna secabit
1.195	aequora, confertos hostes superabit inermis. 
1.196	ille vel Aethiopum pluviis solabitur aestus;
1.197	illum trans Scythiam vernus comitabitur aer.”
1.198	Sic fatus tradente dea suscepit habenas
1.199	quattuor ingenti iuris temone refusas.
1.200	prima Padum Thybrimque ligat crebrisque micantem
1.201	urbibus Italiam; Numidas 1 Poenosque secunda 
1.202	temperat; Illyrico se tertia porrigit orbi;
1.203	ultima Sardiniam, Cyrnum trifidamque retentat
1.204	Sicaniam et quidquid Tyrrhena tunditur unda
1.205	vel gemit Ionia, nec te tot lumina rerum 
1.206	aut tantum turbavit onus; sed ut altus Olympi
1.207	vertex, qui spatio ventos hiemesque relinquit,
1.208	perpetuum nulla temeratus nube serenum
1.209	celsior exurgit pluviis auditque ruentes
1.210	sub pedibus nimbos et rauca tonitrua calcat: 
1.211	sic patiens animus per tanta negotia liber
1.212	emergit similisque sui, iustique tenorem
1.213	flectere non odium cogit, non gratia suadet.
1.214	nam spretas quis opes intactaque pectora lucro
1.215	commemoret? fuerint aliis haec forte decora: 
1.216	nulla potest laus esse tibi, quae crimina purget.
1.217	servat inoffensam divina modestia vocem:
1.218	temperiem servant oculi; nec lumina fervor
1.219	asperat aut rabidas suffundit sanguine venas,
1.220	nullaque mutati tempestas proditur oris. 
1.221	quin etiam sontes expulsa corrigis ira
1.222	et placidus delicta domas; nec dentibus umquam
1.223	instrepis horrendum, fremitu nec verbera poscis.
1.224	Qui fruitur poena, ferus est, legumque videtur
1.225	vindictam praestare sibi; cum viscera felle 
1.226	canduerint, ardet stimulis ferturque nocendi
1.227	prodigus, ignarus causae: dis proximus ille,
1.228	quem ratio, non ira movet, qui facta rependens
1.229	consilio punire potest, mucrone cruento
1.230	se iactent alii, studeant feritate timeri 
1.231	addictoque hominum cumulent aeraria censu.
1.232	lene fluit Nilus, sed cunctis amnibus extat
1.233	utilior nullo confessus murmure vires;
1.234	acrior ac rapidus tacitas praetermeat ingens
1.235	Danuvius ripas; eadem dementia sani 
1.236	gurgitis inmensum deducit in ostia Gangen.
1.237	torrentes inmane fremant lassisque minentur
1.238	pontibus et volvant spumoso vertice silvas:
1.239	pax maiora decet; peragit tranquilla potestas,
1.240	quod violenta nequit, mandataque fortius urget 
1.241	imperiosa quies. Idem praedurus iniquas
1.242	accepisse preces, rursus, quae digna petitu,
1.243	largior et facilis; nec quae comitatur honores,
1.244	ausa tuam leviter temptare superbia mentem.
1.245	frons privata manet nec se meruisse fatetur, 
1.246	quae crevisse putat; rigidi sed plena pudoris
1.247	elucet gravitas fastu iucunda remote,
1.248	quae non seditio, quae non insania vulgi
1.249	te viso lenita cadat? quae dissona ritu
1.250	barbaries, medii quam non reverentia frangat? 
1.251	vel quis non sitiens sermonis mella politi
1.252	deserat Orpheos blanda testudine cantus?
1.253	qualem te legimus teneri primordia mundi
1.254	scribentem aut partes animae, per singula talem
1.255	cernimus et similes agnoscit pagina mores. 
1.256	Nec dilata tuis Augusto iudice merces
1.257	officiis, illumque habitum, quo iungitur aulae
1.258	curia, qui socio proceres cum principe nectit,
1.259	quem quater ipse gerit, perfecto detulit anno
1.260	deposuitque suas te succedente curules. 
1.261	crescant virtutes fecundaque floreat aetas.
1.262	ingeniis patuit campus certusque merenti
1.263	stat favor: ornatur propriis industria donis.
1.264	surgite sopitae, quas obruit ambitus, artes.
1.265	nil licet invidiae, Stilicho dum prospicit orbi 
1.266	sidereusque gener. non hic violata curulis,
1.267	turpia non Latios incestant nomina fastos;
1.268	fortibus haec concessa viris solisque gerenda
1.269	patribus et Romae numquam latura pudorem.
1.270	Nuntia votorum celeri iam Fama volatu 
1.271	moverat Aonios audito consule lucos.
1.272	concinuit felix Helicon fluxitque Aganippe
1.273	largior et docti riserunt floribus amnes.
1.274	Uranie redimita comas, qua saepe magistra
1.275	Manlius igniferos radio descripserat axes, 
1.276	sic alias hortata deas: “patimurne, sorores,
1.277	optato procul esse die nec limina nostri
1.278	consulis et semper dilectas visimus aedes?
1.279	notior est Helieone 1 domus. gestare curules
1.280	et fasces subiisse libet. miracula plebi 
1.281	colligite et claris nomen celebrate theatris.
1.282	Tu Iovis aequorei summersam fluctibus aulam
1.283	oratum volucres, Erato, iam perge quadrigas,
1.284	a quibus haud umquam palmam rapturus Arion.
1.285	inlustret circum sonipes, quicumque superbo 
1.286	perstrepit hinnitu Baetin, qui splendida potat
1.287	stagna Tagi madidoque iubas adspergitur auro.
1.288	Calliope, liquidas Alciden posce palaestras:
1.289	cuncta Palaemoniis manus explorata coronis
1.290	adsit et Eleo pubes laudata Tonanti.
1.291	Tu iuga Taygeti frondosaque Maenala, Clio,
1.292	i Triviae supplex; non aspernata rogantem
1.293	amphitheatrali faveat Latonia pompae.
1.294	audaces legat ipsa viros, qui colla ferarum
1.295	arte ligent certoque premant venabula nisu. 
1.296	ipsa truces fetus captivaque ducat ab antris
1.297	prodigia et caedis sitientem differat arcum.
1.298	conveniant ursi, magna quos mole ruentes
1.299	torva Lycaoniis Helice miretur ab astris,
1.300	perfossique rudant populo pallente leones, 
1.301	quales Mygdonio curru frenare Cybebe
1.302	optet et Herculei mallent fregisse lacerti.
1.303	obvia fulminei properent ad vulnera pardi
1.304	semine permixto geniti, cum forte leaenae
1.305	nobiliorem uterum viridis corrupit adulter; 
1.306	hi maculis patres referunt et robore matres.
1.307	quidquid monstriferis nutrit Gaetulia campis,
1.308	Alpina quidquid tegitur nive, Gallica siquid
1.309	silva tenet, iaceat; largo ditescat harena
1.310	sanguine; consumant totos spectacula montes.
1.311	Nec molles egeant nostra dulcedine ludi:
1.312	qui laetis risum salibus movisse facetus,
1.313	qui nutu manibusque loquax, cui tibia flatu,
1.314	cui plectro pulsanda chelys, qui pulpita socco
1.315	personat aut alte graditur maiore cothurno, 
1.316	et qui magna levi detrudens murmura tactu
1.317	innumeras voces segetis moderatus aenae
1.318	intonet erranti digito penitusque trabali
1.319	vecte laborantes in carmina concitet undas,
1.320	vel qui more avium sese iaculentur in auras 
1.321	corporaque aedificent celeri crescentia nexu,
1.322	quorum compositam puer amentatus in arcem
1.323	emicet et vinctu plantae vel cruribus haerens
1.324	pendula librato figat vestigia saltu.
1.325	mobile ponderibus descendat pegma reductis 
1.326	inque chori speciem spargentes ardua flammas
1.327	scaena rotet varios et fingat Mulciber orbis
1.328	per tabulas impune vagus pictaeque citato
1.329	ludant igne trabes et non permissa morari
1.330	fida per innocuas errent incendia turres. 
1.331	lascivi subito confligant aequore lembi
1.332	stagnaque remigibus spument inmissa canoris.
1.333	Consul per populos idemque gravissimus auctor
1.334	eloquii, duplici vita subnixus in aevum
1.335	procedat pariter libris fastisque legendus. 
1.336	accipiat patris exemplum tribuatque nepoti
1.337	filius et coeptis ne desit fascibus heres.
1.338	decurrat trabeata domus tradatque secures
1.339	mutua posteritas servatoque ordine fati
1.340	Manlia continuo numeretur consule proles.”
