1.pr.1	Phoebeo domitus Python cum decidit arcu
1.1.23	ut lapsu graviore ruant. vos pandite vati,
1.1.24	Pierides, quo tanta lues eruperit ortu.
1.1.25	Invidiae quondam stimulis incanduit atrox 
1.1.26	Allecto, placidas late cum cerneret urbes.
1.1.27	protinus infernas ad limina taetra sorores
1.1.28	concilium deforme vocat. glomerantur in unum
1.1.29	innumerae pestes Erebi, quascumque sinistro
1.1.30	Nox genuit fetu: nutrix Discordia belli, 
1.1.31	imperiosa Fames, leto vicina Senectus
1.1.32	impatiensque sui Morbus Livorque secundis
1.1.33	anxius et scisso maerens velamine Luctus
1.1.34	et Timor et caeco praeceps Audacia vultu
1.1.35	et Luxus populator opum, quem semper adhaerens 
1.1.36	infelix humili gressu comitatur Egestas,
1.1.37	foedaque Avaritiae complexae pectora matris
1.1.38	insomnes longo veniunt examine Curae.
1.1.39	complentur vario ferrata sedilia coetu
1.1.40	torvaque collectis stipatur curia monstris. 
1.1.41	Allecto stetit in mediis vulgusque tacere
1.1.42	iussit et obstantes in tergum reppulit angues
1.1.43	perque umeros errare dedit. tum corde sub imo
1.1.44	inclusam rabidis patefecit vocibus iram:
1.1.45	“Sicine tranquillo produci saecula cursu, 
1.1.46	sic fortunatas patiemur vivere gentes?
1.1.47	quae nova corrupit nostros dementia mores?
1.1.48	quo rabies innata perit? quid inania prosunt
1.1.49	verbera? quid facibus nequiquam cingimur atris?
1.1.50	heu nimis ignavae, quas Iuppiter arcet Olympo, 
1.1.51	Theodosius terris. en aurea nascitur aetas,
1.1.52	en proles antiqua redit. Concordia, Virtus
1.1.53	cumque Fide Pietas alta cervice vagantur
1.1.54	insignemque canunt nostra de plebe triumphum.
1.1.55	pro dolor! ipsa mihi liquidas delapsa per auras 
1.1.56	Iustitia insultat vitiisque a stirpe recisis
1.1.57	elicit oppressas tenebroso carcere leges.
1.1.58	at nos indecores longo torpebimus aevo
1.1.59	omnibus eiectae regnis! agnoscite tandem
1.1.60	quid Furias deceat; consuetas sumite vires 
1.1.61	conventuque nefas tanto decernite dignum.
1.1.62	iam cupio Stygiis invadere nubibus astra,
1.1.63	iam flatu violare diem, laxare profundo
1.1.64	frena mari, fluvios ruptis inmittere ripis
1.1.65	et rerum vexare fidem.” Sic fata cruentum 
1.1.66	mugiit et totos serpentum erexit hiatus
1.1.67	noxiaque effudit concusso crine venena.
1.1.68	anceps motus erat vulgi. pars maxima bellum
1.1.69	indicit superis, pars Ditis iura veretur,
1.1.70	dissensuque alitur rumor: ceu murmurat alti 
1.1.71	impacata quies pelagi, cum flamine fracto
1.1.72	durat adhuc saevitque tumor dubiumque per aestum
1.1.73	lassa recedentis fluitant vestigia venti.
1.1.74	Improba mox surgit tristi de sede Megaera,
1.1.75	quam penes insani fremitus animique profanus 
1.1.76	error et undantes spumis furialibus irae:
1.1.77	non nisi quaesitum cognata caede cruorem
1.1.78	inlicitumve bibit, patrius quem fuderit ensis,
1.1.79	quem dederint fratres; haec terruit Herculis ora
1.1.80	et defensores terrarum polluit arcus, 
1.1.81	haec Athamanteae direxit spicula dextrae,
1.1.82	haec Agamemnonios inter bacchata penates
1.1.83	alternis lusit iugulis; hac auspice taedae
1.1.84	Oedipoden matri, natae iunxere Thyesten.
1.1.85	quae tunc horrisonis effatur tali a dictis: 
1.1.86	“Signa quidem, sociae, divos attollere contra
1.1.87	nec fas est nec posse reor; sed laedere mundum
1.1.88	si libet et populis commune intendere letum.
1.1.89	est mihi prodigium cunctis inmanius hydris,
1.1.90	tigride mobilius feta, violentius Austris 
1.1.91	acribus, Euripi fulvis incertius undis
1.1.92	Rufinus, quem prima meo de matre cadentem
1.1.93	suscepi gremio. parvus reptavit in isto
1.1.94	saepe sinu teneroque per ardua colla volutus
1.1.95	ubera quaesivit fletu linguisque trisulcis 
1.1.96	mollia lambentes finxerunt membra cerastae;
1.1.97	meque etiam tradente dolos artesque nocendi
1.1.98	edidicit: simulare fidem sensusque minaces
1.1.99	protegere et blando fraudem praetexere risu,
1.1.100	plenus saevitiae lucrique cupidine fervens. 
1.1.101	non Tartesiacis illum satiaret harenis
1.1.102	tempestas pretiosa Tagi, non stagna rubentis
1.1.103	aurea Pactoli; totumque exhauserit Hermum,
1.1.104	ardebit maiore siti. quam fallere mentes
1.1.105	doctus et unanimos odiis turbare sodales! 
1.1.106	talem progenies hominum si prisca tulisset,
1.1.107	Perithoum fugeret Theseus, offensus Orestem
1.1.108	desereret Pylades, odisset Castora Pollux,
1.1.109	ipsa quidem fateor vinci rapidoque magistram
1.1.110	praevenit ingenio; nec plus sermone morabor: 
1.1.111	solus habet scelerum quidquid possedimus omnes.
1.1.112	hunc ego, si vestrae res est accommoda turbae,
1.1.113	regalem ad summi producam principis aulam.
1.1.114	sit licet ipse Numa gravior, sit denique Minos,
1.1.115	cedet et insidiis nostri flectetur alumni.”
1.1.116	Orantem sequitur clamor cunctaeque profanas
1.1.117	porrexere manus inventaque tristia laudant.
1.1.118	ilia ubi caeruleo vestes conexuit angue
1.1.119	nodavitque adamante comas, Phlegethonta sonorum
1.1.120	poscit et ambusto flagrantis ab aggere ripae 
1.1.121	ingentem piceo succendit gurgite pinum
1.1.122	pigraque veloces per Tartara concutit alas.
1.1.123	Est locus extremum pandit qua Gallia litus
1.1.124	Oceani praetentus aquis, ubi fertur Ulixes
1.1.125	sanguine libato populum movisse silentem. 
1.1.126	illic umbrarum tenui stridore volantum
1.1.127	flebilis auditur questus; simulacra coloni
1.1.128	pallida defunctasque vident migrare figuras.
1.1.129	hinc dea prosiluit Phoebique egressa serenos
1.1.130	infecit radios ululatuque aethera rupit 
1.1.131	terrifico: sentit ferale Britannia murmur
1.1.132	et Senonum quatit arva fragor revolutaque Tethys
1.1.133	substitit et Rhenus proiecta torpuit urna.
1.1.134	tunc in canitiem mutatis sponte colubris
1.1.135	longaevum mentita senem rugisque seueras 
1.1.136	persulcata genas et ficto languida passu
1.1.137	invadit muros Elusae, notissima dudum
1.1.138	tecta petens, oculisque diu liventibus haesit
1.1.139	peiorem mirata virum, tum talia fatur:
1.1.140	“Otia te, Rufine, iuvant frustraque iuventae 
1.1.141	consumis florem patriis inglorius arvis?
1.1.142	heu nescis quid fata tibi, quid sidera debent,
1.1.143	quid Fortuna parat: toto dominabere mundo,
1.1.144	si parere velis! artus ne sperne seniles!
1.1.145	namque mihi magicae vires aevique futuri 
1.1.146	praescius ardor inest; novi quo Thessala cantu
1.1.147	eripiat lunare iubar, quid signa sagacis
1.1.148	Aegypti valeant, qua gens Chaldaea vocatis
1.1.149	imperet arte deis, nec me latuere fluentes
1.1.150	arboribus suci funestarumque potestas 
1.1.151	herbarum, quidquid letali gramine pollens
1.1.152	Caucasus et Scythicae vernant in crimina1 rupes,
1.1.153	quas legit Medea ferox et callida Circe,
1.1.154	saepius horrendos manes sacrisque litavi
1.1.155	nocturnis Hecaten et condita funera traxi 
1.1.156	carminibus victura meis, multosque canendo,
1.1.157	quamvis Parcarum restarent fila, peremi.
1.1.158	ire vagas quercus et fulmen stare coegi
1.1.159	versaque non prono curvavi flumina lapsu
1.1.160	in fontes reditura suos. ne vana locutum 
1.1.161	me fortasse putes, mutatos cerne penates.”
1.1.162	dixerat, et niveae (mirum!) coepere columnae
1.1.163	ditari subitoque trabes lucere metallo.
1.1.164	Inlecebris capitur nimiumque elatus avaro
1.1.165	pascitur aspectu. sic rex ad prima tumebat 
1.1.166	Maeonius, pulchro cum verteret omnia tactu;
1.1.167	sed postquam riguisse dapes fulvamque revinctos
1.1.168	in glaciem vidit latices, tum munus acerbum
1.1.169	sensit et inviso votum damnavit in auro.
1.1.170	ergo animi victus " sequimur quocumque vocabis, 
1.1.171	seu tu vir seu numen " ait, patriaque relicta
1.1.172	Eoas Furiae iussu tendebat ad arces
1.1.173	instabilesque olim Symplegadas et freta remis
1.1.174	inclita Thessalicis, celsa qua Bosphorus urbe
1.1.175	splendet et Odrysiis Asiam discriminat oris. 
1.1.176	Ut longum permensus iter ductusque maligno
1.1.177	stamine fatorum claram subrepsit in aulam,
1.1.178	ilicet ambitio nasci, discedere rectum,
1.1.179	venum cuncta dari; profert arcana, clientes
1.1.180	fallit et ambitos a principe vendit honores. 
1.1.181	ingeminat crimen, commoti pectoris ignem
1.1.182	nutrit et exiguum stimulando vulnus acerbat.
1.1.183	ac velut innumeros amnes accedere Nereus
1.1.184	nescit et undantem quamvis hinc hauriat Histrum,
1.1.185	hinc bibat aestivum septeno gurgite Nilum, 
1.1.186	par semper similisque manet: sic fluctibus auri
1.1.187	expleri calor ille nequit. cuicumque monile
1.1.188	contextum gemmis aut praedia culta fuissent,
1.1.189	Rufino populandus erat, dominoque parabat
1.1.190	exitium fecundus ager; metuenda colonis 
1.1.191	fertilitas; laribus pellit, detrudit avitis
1.1.192	finibus; aut aufert vivis aut occupat heres
1.1.193	congestae cumulantur opes orbisque ruinas
1.1.194	accipit una domus: populi servire coacti
1.1.195	plenaque private succumbunt oppida regno. 
1.1.196	Quo, vesane, ruis? teneas utrumque licebit
1.1.197	Oceanum, laxet rutilos tibi Lydia fontes,
1.1.198	iungatur solium Croesi Cyrique tiara:
1.1.199	numquam dives eris, numquam satiabere quaestu.
1.1.200	semper inops quicumque cupit. contentus honesto
1.1.201	Fabricius parvo spernebat munera regum 
1.1.202	sudabatque gravi consul Serranus aratro
1.1.203	et casa pugnaces Curios angusta tegebat.
1.1.204	haec mihi paupertas opulentior, haec mihi tecta
1.1.205	culminibus maiora tuis. ibi quaerit inanes 
1.1.206	luxuries nocitura cibos; hic donat inemptas
1.1.207	terra dapes. rapiunt Tyrios ibi vellera sucos
1.1.208	et picturatae saturantur murice vestes;
1.1.209	hic radiant flores et prati viva voluptas
1.1.210	ingenio variata suo. fulgentibus illic 
1.1.211	surgunt strata toris; hic mollis panditur herba
1.1.212	sollicitum curis non abruptura soporem.
1.1.213	turba salutantum latas ibi perstrepit aedes;
1.1.214	hic avium cantus, labentis murmura rivi.
1.1.215	vivitur exiguo melius; natura beatis 
1.1.216	omnibus esse dedit, si quis cognoverit uti.
1.1.217	haec si nota forent, frueremur simplice cultu,
1.1.218	classica non gemerent, non stridula fraxinus iret,
1.1.219	nec ventus quateret puppes nec machina muros.
1.1.220	Crescebat scelerata sitis praedaeque recentis 
1.1.221	incestus flagrabat amor, nullusque petendi
1.1.222	cogendive pudor: crebris periuria nectit
1.1.223	blanditiis; sociat perituro foedere dextras.
1.1.224	si semel e tantis poscenti quisque negasset,
1.1.225	effera praetumido quatiebat corda furore. 
1.1.226	quae sic Gaetuli iaculo percussa leaena
1.1.227	aut Hyrcana premens raptorem belua partus
1.1.228	aut serpens calcata furit? iurata deorum
1.1.229	maiestas teritur; nusquam reverentia mensae.
1.1.230	non coniunx, non ipse simul, non pignora caesa 
1.1.231	sufficiunt odiis; non extinxisse propinquos,
1.1.232	non notos egisse sat est; exscindere cives
1.1.233	funditus et nomen gentis delere laborat.
1.1.234	nec celeri perimit leto; crudelibus ante
1.1.235	suppliciis fruitur; cruciatus, vincla, tenebras 
1.1.236	dilato mucrone parat. pro saevior ense
1.1.237	parcendi rabies concessaque vita dolori!
1.1.238	mors adeone parum est? causis fallacibus instat,
1.1.239	arguit attonitos se iudice. cetera segnis,
1.1.240	ad facinus velox, penitus regione remotas 
1.1.241	impiger ire vias: non illum Sirius ardens
1.1.242	brumave Riphaeo stridens Aquilone retardat.
1.1.243	effera torquebant avidae praecordia curae,
1.1.244	effugeret ne quis gladios neu perderet ullum
1.1.245	Augusto miserante nefas. non flectitur annis, 
1.1.246	non aetate labat: iuvenum rorantia colla
1.1.247	ante patrum vultus stricta cecidere securi;
1.1.248	ibat grandaevus nato moriente superstes
1.1.249	post trabeas exul. quis prodere tanta relatu
1.1.250	funera, quis caedes possit deflere nefandas? 
1.1.251	quid tale inmanes umquam gessisse feruntur
1.1.252	vel Sinis Isthmiaca pinu vel rupe profunda
1.1.253	Sciron vel Phalaris tauro vel carcere Sulla?
1.1.254	o mites Diomedis equi! Busiridis arae
1.1.255	clementes! iam Cinna pius, iam Spartace segnis 
1.1.256	Rufino collatus eris! Deiecerat omnes
1.1.257	occultis odiis terror tacitique sepultos
1.1.258	suspirant gemitus indignarique verentur.
1.1.259	at non magnanimi virtus Stilichonis eodem
1.1.260	fracta metu; solus medio sed turbine rerum 
1.1.261	contra letiferos rictus contraque rapacem
1.1.262	movit tela feram, volucris non praepete cursu
1.1.263	vectus equi, non Pegaseis adiutus habenis.
1.1.264	hic cunctis optata quies, hic sola pericli
1.1.265	turris erat clipeusque trucem porrectus in hostem,
1.1.266	hic profugis sedes adversaque signa furori, 
1.1.267	servandis hic castra bonis. Hucusque minatus
1.1.268	haerebat retroque fuga cedebat inerti:
1.1.269	haud secus hiberno tumidus cum vertice torrens
1.1.270	saxa rotat volvitque nemus pontesque revellit, 
1.1.271	frangitur obiectu scopuli quaerensque meatum
1.1.272	spumat et inlisa montem circumtonat unda.
1.1.273	Qua dignum te laude feram, qui paene ruenti
1.1.274	lapsuroque tuos umeros obieceris orbi?
1.1.275	te nobis trepidae sidus ceu dulce carinae 
1.1.276	ostendere dei, geminis quae lassa procellis
1.1.277	tunditur et victo trahitur iam caeca magistro.
1.1.278	Inachius Rubro perhibetur in aequore Perseus
1.1.279	Neptuni domuisse pecus, sed tutior alis:
1.1.280	te non penna vehit; rigida cum Gorgone Perseus:
1.1.281	tu non vipereo defensus crine Medusae; 
1.1.282	illum vilis amor suspensae virginis egit:
1.1.283	te Romana salus. taceat superata vetustas,
1.1.284	Herculeos conferre tuis iam desinat actus.
1.1.285	una Cleonaeum pascebat silva leonem; 
1.1.286	Arcadiae saltum vastabat dentibus unum
1.1.287	saevus aper, tuque o compressa matre rebellans
1.1.288	non ultra Libyae fines, Antaee, nocebas,
1.1.289	solaque fulmineo resonabat Creta iuvenco
1.1.290	Lernaeamque virens obsederat hydra paludem. 
1.1.291	hoc monstrum non una palus, non una tremebat
1.1.292	insula, sed Latia quidquid dicione subactum
1.1.293	vivit, et a primis Ganges horrebat Hiberis.
1.1.294	hoc neque Geryon triplex nec turbidus Orci
1.1.295	ianitor aequabit nec si concurrat in unum 
1.1.296	vis hydrae Scyllaeque fames et flamma Chimaerae.
1.1.297	Certamen sublime diu, sed moribus impar
1.1.298	virtutum scelerumque fuit. iugulare minatur:
1.1.299	tu prohibes; ditem spoliat: tu reddis egenti;
1.1.300	eruit: instauras; accendit proelia: vincis. 
1.1.301	ac velut infecto morbus crudescere caelo
1.1.302	incipiens primos pecudum depascitur artus,
1.1.303	mox populos urbesque rapit ventisque perustis
1.1.304	corruptos Stygiam pestem desudat in amnes:
1.1.305	sic avidus praedo iam non per singula saevit. 
1.1.306	sed sceptris inferre minas omnique perempto
1.1.307	milite Romanas ardet prosternere vires,
1.1.308	iamque Getas Histrumque movet Scythiamque receptat
1.1.309	auxilio traditque suas hostilibus armis
1.1.310	relliquias. mixtis descendit Sarmata Dacis 
1.1.311	et qui cornipedes in pocula vulnerat audax
1.1.312	Massagetes caesamque bibens Maeotin Alanus
1.1.313	membraque qui ferro gaudet pinxisse Gelonus,
1.1.314	Rufino collecta manus. vetat ille domari
1.1.315	innectitque moras et congrua tempora differt. 
1.1.316	nam tua cum Geticas stravisset dextra catervas,
1.1.317	ulta ducis socii letum, parsque una maneret
1.1.318	debilior facilisque capi, tunc impius ille
1.1.319	proditor imperii coniuratusque Getarum
1.1.320	distulit instantes eluso principe pugnas 
1.1.321	Hunorum laturus opem, quos adfore bello
1.1.322	norat et invisis mox se coniungere castris.
1.1.323	Est genus extremos Scythiae vergentis in ortus
1.1.324	trans gelidum Tanain, quo non famosius ullum
1.1.325	Arctos alit. turpes habitus obscaenaque visu 
1.1.326	corpora; mens duro numquam cessura labori;
1.1.327	praeda cibus, vitanda Ceres frontemque secari
1.1.328	ludus et occisos pulchrum iurare parentes.
1.1.329	nec plus nubigenas duplex natura biformes
1.1.330	cognatis aptavlt equis; acerrima nullo 
1.1.331	ordine mobilitas insperatique recursus.
1.1.332	Quos tamen impavidus contra spumantis ad Hebri
1.1.333	tendis aquas, sic ante tubas aciemque precatus:
1.1.334	“Mavors, nubifero seu tu procumbis in Haemo
1.1.335	seu te cana gelu Rhodope seu remige Medo 
1.1.336	sollicitatus Athos seu caligantia nigris
1.1.337	ilicibus Pangaea tenent, accingere mecum
1.1.338	et Thracas defende tuos si laetior adsit
1.1.339	gloria, vestita spoliis donabere quercu.”
1.1.340	Audiit ilia pater scopulisque nivalibus Haemi 
1.1.341	surgit et hortatur celeres clamore ministros:
1.1.342	“fer galeam, Bellona, mihi nexusque rotarum
1.1.343	tende, Pavor. frenet rapidos Formido iugales.
1.1.344	festinas urgete manus. meus ecce paratur
1.1.345	ad bellum Stilicho, qui me de more tropaeis 
1.1.346	ditat et hostiles suspendit in arbore cristas,
1.1.347	communes semper litui, communia nobis
1.1.348	signa canunt iunctoque sequor tentoria eurru.”
1.1.349	sic fatus campo insiluit lateque fugatas
1.1.350	hinc Stilicho turmas, illinc Gradivus agebat 
1.1.351	et clipeis et mole pares; stat cassis utrique
1.1.352	sidereis hirsuta iubis loricaque cursu
1.1.353	aestuat et largo saturatur vulnere cornus.
1.1.354	Acrior interea voto multisque Megaera
1.1.355	luxuriata malis maestam deprendit in area 
1.1.356	Iustitiam diroque prior sic ore lacessit:
1.1.357	“en tibi prisca quies renovataque saecula rursus,
1.1.358	ut rebare, vigent? en nostra potentia cessit
1.1.359	nec locus est usquam Furiis? huc lumina flecte.
1.1.360	adspice barbaricis iaceant quot moenia flammis, 
1.1.361	quas mihi Rufinus strages quantumque cruoris
1.1.362	praebeat et quantis epulentur caedibus hydri.
1.1.363	linque homines sortemque meam, pete sidera; notis
1.1.364	Autumni te redde plagis, qua vergit in Austrum
1.1.365	Signifer; aestivo sedes vicina Leoni 
1.1.366	iam pridem gelidaeque vacant confinia Librae,
1.1.367	atque utinam per magna sequi convexa liceret! ”
1.1.368	Diva refert: “non ulterius bacchabere demens.
1.1.369	iam poenas tuus iste dabit, iam debitus ultor
1.1.370	inminet, et, terras qui nunc ipsumque fatigat 
1.1.371	aethera, non vili moriens condetur harena.
1.1.372	iamque aderit laeto promissus Honorius aevo
1.1.373	nec forti genitore minor nec fratre corusco,
1.1.374	qui subiget Medos, qui cuspide proteret Indos.
1.1.375	sub iuga venturi reges; calcabitur asper 
1.1.376	Phasis equo pontemque pati cogetur Araxes,
1.1.377	tuque simul gravibus ferri religata catenis
1.1.378	expellere die debellatasque draconum
1.1.379	tonsa comas imo barathri claudere recessu.
1.1.380	tum tellus communis erit, tum limite nullo 
1.1.381	discernetur ager; nec vomere sulcus adunco
1.1.382	findetur: subitis messor gaudebit aristis.
1.1.383	rorabunt querceta favis; stagnantia passim
1.1.384	vina fluent oleique lacus; nec murice tinctis
1.1.385	velleribus quaeretur honos, sed sponte rubebunt 
1.1.386	attonito pastore greges pontumque per omnem
1.1.387	ridebunt virides gemmis nascentibus algae.”
2.pr.1	Pandite defensum reduces Helicona sorores,
2.pr.2	pandite; permissis iam licet ire choris:
2.pr.3	nulla per Aonios hostilis bucina campos
2.pr.4	carmina mugitu deteriore vetat.
2.pr.5	tu quoque securis pulsa formidine Delphis 
2.pr.6	floribus ultorem, Delie, cinge tuum.
2.pr.7	nullus Castalios latices et praescia fati
2.pr.8	flumina polluto barbarus ore bibit.
2.pr.9	Alpheus late rubuit Siculumque per aequor
2.pr.10	sanguineas belli rettulit unda notas 
2.pr.11	agnovitque novos absens Arethusa triumphos
2.pr.12	et Geticam sensit teste cruore necem.
2.pr.13	Inmensis, Stilicho, succedant otia curis
2.pr.14	et nostrae patiens corda remitte lyrae,
2.pr.15	nec pudeat longos interrupisse labores 
2.pr.16	et tenuem Musis constituisse moram.
2.pr.17	fertur et indomitus tandem post proelia Mavors
2.pr.18	lassa per Odrysias fundere membra nives
2.pr.19	oblitusque sui posita clementior hasta
2.pr.20	Pieriis aures pacificare modis. 
2.1.1	Iam post edomitas Alpes defensaque regna
2.1.2	Hesperiae merita complexus sede parentem
2.1.3	auctior adiecto fulgebat sidere mundus,
2.1.4	iamque tuis, Stilicho, Romana potentia curis
2.1.5	et rerum commissus apex, tibi credita fratrum 
2.1.6	utraque maiestas geminaeque exercitus aulae.
2.1.7	Rufinus (neque enim patiuntur saeva quietem
2.1.8	crimina pollutaeque negant arescere fauces)
2.1.9	infandis iterum terras accendere bellis
2.1.10	incohat et soli to pacem vexare tumultu. 
2.1.11	haec etiam secum: “quanam ratione tuebor
2.1.12	spem vitae fragilem? qua tot depellere fluctus
2.1.13	arte queam? premor hinc odiis, hinc milite cingor.
2.1.14	heu quid agam? non arma mihi, non principis ullus
2.1.15	auxiliatur amor, matura pericula surgunt 
2.1.16	undique et impositi radiant cervicibus enses.
2.1.17	quid restat, nisi cuncta novo confundere luctu
2.1.18	insontesque meae populos miscere ruinae?
2.1.19	everso iuvat orbe mori; solacia leto
2.1.20	exitium commune dabit nec territus ante 
2.1.21	discedam: cum luce simul linquenda potestas.”
2.1.22	Haec fatus, ventis veluti si frena resolvat
2.1.23	Aeolus, abrupto gentes sic obice fudit
2.1.24	laxavitque viam bellis et, nequa maneret
2.1.25	inmunis regio, cladem divisit in orbem 
2.1.26	disposuitque nefas. alii per terga ferocis
2.1.27	Danuvii solidata ruunt expertaque remos
2.1.28	frangunt stagna rotis; alii per Caspia claustra
2.1.29	Armeniasque nives inopino tramite ducti
2.1.30	invadunt Orientis opes, iam pascua fumant 
2.1.31	Cappadocum volucrumque parens Argaeus equorum,
2.1.32	iam rubet altus Halys nec se defendit iniquo
2.1.33	monte Cilix. Syriae tractus vastantur amoeni
2.1.34	adsuetumque choris et laeta plebe canorum
2.1.35	proterit imbellem sonipes hostilis Orontem. 
2.1.36	hinc planctus Asiae; Geticis Europa catervis
2.1.37	ludibrio praedaeque datur frondentis ad usque
2.1.38	Dalmatiae fines: omnis quae mobile Ponti
2.1.39	aequor et Adriacas tellus interiacet undas
2.1.40	squalet inops pecudum, nullis habitata colonis, 
2.1.41	instar anhelantis Libyae, quae torrida semper
2.1.42	solibus humano nescit mansuescere cultu.
2.1.43	Thessalus ardet ager; reticet pastore fugato
2.1.44	Pelion; Emathias ignis populatur aristas.
2.1.45	nam plaga Pannoniae miserandaque moenia Thracum
2.1.46	arvaque Mysorum iam nulli flebile damnum, 
2.1.47	sed cursus sollemnis erat campusque furori
2.1.48	expositus, sensumque malis detraxerat usus.
2.1.49	eheu quam brevibus pereunt ingentia fatis!
2.1.50	imperium tanto quaesitum sanguine, tanto 
2.1.51	servatum, quod mille ducum peperere labores,
2.1.52	quod tantis Romana manus contexuit annis,
2.1.53	proditor unus iners angusto tempore vertit.
2.1.54	Urbs etiam, magnae quae ducitur aemula Romae
2.1.55	et Calchedonias contra despectat harenas, 
2.1.56	iam non finitimo Martis terrore movetur,
2.1.57	sed propius lucere faces et rauca sonare
2.1.58	cornua vibratisque peti fastigia telis
2.1.59	adspicit. hi vigili muros statione tueri,
2.1.60	hi iunctis properant portus munire carinis. 
2.1.61	obsessa tamen ille ferus laetatur in urbe
2.1.62	exultatque malis summaeque ex culmine turris
2.1.63	impia vicini cernit spectacula campi:
2.1.64	vinctas ire nunc, nunc in vada proxima mergi
2.1.65	seminecem, hunc subito percussum vulnere labi 
2.1.66	dum fugit, hunc animam portis efflare sub ipsis;
2.1.67	nec canos prodesse seni puerique cruore
2.1.68	maternos undare sinus, inmensa voluptas
2.1.69	et risus plerumque subit; dolor afficit unus,
2.1.70	quod feriat non ipse manu. videt omnia late 
2.1.71	exceptis incensa suis et crimine tanto
2.1.72	luxuriat carumque sibi non abnuit hostem;
2.1.73	iactabatque ultro, quod soli castra paterent
2.1.74	sermonumque foret vicibus permissa potestas.
2.1.75	egregii quotiens exisset foederis auctor, 
2.1.76	stipatur sociis, circumque armata clientum
2.1.77	agmina privatis ibant famulantia signis;
2.1.78	ipse inter medios, ne qua de parte relinquat
2.1.79	barbariem, revocat fulvas in pectora pelles
2.1.80	frenaque et inmanes pharetras arcusque sonoros 
2.1.81	adsimulat mentemque palam proclamat amictu,
2.1.82	nec pudet Ausonios currus et iura regentem
2.1.83	sumere deformes ritus vestemque Getarum;
2.1.84	insignemque habitum Latii mutare coactae
2.1.85	maerent captivae pellito iudice leges. 
2.1.86	Quis populi tum vultus erat! quae murmura furtim!
2.1.87	(nam miseris ne flere quidem aut lenire dolorem
2.1.88	colloquiis impune licet): “quonam usque feremus
2.1.89	exitiale iugum? durae quis terminus umquam
2.1.90	sortis erit? quis nos funesto turbine rerum 
2.1.91	aut tantis solvet lacrimis, quos barbarus illinc,
2.1.92	hinc Rufinus agit, quibus arva fretumque negatur?
2.1.93	magna quidem per rura lues, sed maior oberrat
2.1.94	intra tecta timor. tandem succurre ruenti
2.1.95	heu patriae, Stilicho! dilecta hic pignora certe, 
2.1.96	hic domus, hic thalamis primum genialibus omen,
2.1.97	hic tibi felices erexit regia taedas.
2.1.98	vel solus sperate veni. te proelia viso
2.1.99	languescent avidique cadet dementia monstri.”
2.1.100	Talibus urgetur discors Aurora procellis. 
2.1.101	at Stilicho, Zephyris cum primum bruma remitti
2.1.102	et iuga diffusis nudari coepta pruinis,
2.1.103	partibus Italiae tuta sub pace relictis
2.1.104	utraque castra movens Phoebi properabat ad ortus,
2.1.105	Gallica discretis Eoaque robora turmis 
2.1.106	amplexus. numquam tantae dicione sub una
2.1.107	convenere manus nec tot discrimina vocum:
2.1.108	illinc Armeniae vibratis crinibus alae
2.1.109	herbida collectae facili velamina nodo;
2.1.110	inde truces flavo comitantur vertice Galli, 
2.1.111	quos Rhodanus velox, Araris quos tardior ambit
2.1.112	et quos nascentes explorat gurgite Rhenus
