praef.1	Vos etiam, quos nulla mihi cognatio iunxit,
4.22	aquilae ut senectus aut equi.
5.1	FACUNDE, docte, lingua et ingenio celer,
5.2	iocis amoene, Delphidi,
5.3	subtextus esto flebili threno patris,
5.4	laudi ut subibas aemulus,
5.5	tu paene ab ipsis orsus incunabulis 
5.6	dei poeta nobilis,
5.7	sertum coronae praeferens Olympiae,
5.8	puer celebrasti Iovem:
5.9	mox inde cursim more torrentis freti
5.10	epos ligasti metricum, 
5.11	ut nullus aequa lege liber carminum
5.12	orationem texeret.
5.13	celebrata varie cuius eloquentia
5.14	domi forisque claruit:
5.15	seu tu cohortis praesulem praetoriae 
5.16	provinciarum aut iudices
5.17	coleres, tuendis additus clientibus
5.18	famae et salutis sauciis,
5.19	felix, quietis si maneres litteris
5.20	opus Camenarum colens 
5.21	nec odia magnis concitata litibus
5.22	armaret ultor impetus
5.23	nec inquieto temporis tyrannici
5.24	palatio te adtolleres.
5.25	dum spem remotam semper arcessis tibi, 
5.26	fastidiosus obviae,
5.27	tuumque mavis esse quam fati bonum,
5.28	desiderasti plurima,
5.29	vagus per omnes dignitatum formulas
5.30	meritusque plura quam gerens. 
5.31	unde insecuto criminum motu gravi
5.32	donatus aerumnis patris,
5.33	mox inde rhetor, nec docendi pertinax,
5.34	curam fefellisti patrum,
5.35	minus malorum munere expertus dei, 
5.36	medio quod aevi raptus es,
5.37	errore quod non deviantis filiae
5.38	poenaque laesus coniugis.
6.1	O FLOS iuvenum
6.2	spes laeta patris
6.3	nec certa tuae
6.4	data res patriae,
6.5	rhetor Alethi: 
6.6	tu primaevis
6.7	doctor in annis:
6.8	tempore, quo te
6.9	discere adultum
6.10	non turpe foret, 
6.11	praetextate,
6.12	iam genitori
6.13	conlatus eras
6.14	postque Paterae
6.15	et praeceptor. 
6.16	ille superbae
6.17	moenia Romae
6.18	fama et meritis
6.19	inclitus auxit:
6.20	maior utroque 
6.21	tu Burdigalae
6.22	lactus patriae
6.23	clara cohortis
6.24	vexilla regens,
6.25	cuncta habuisti 
6.26	commoda fati,
6.27	non sine morsu
6.28	gravis invidiae:
6.29	omnia praecox
6.30	fortuna tibi 
6.31	dedit et rapuit:
6.32	et rhetoricam
6.33	Horis adulti
6.34	fruge carentem,
6.35	et conubium 
6.36	nobile soceris
6.37	sine pace patris,
6.38	et divitias
6.39	utriusque sine
6.40	herede domus. 
6.41	solstitialis
6.42	velut herba solet
6.43	ostentatus
6.44	raptusque simul,
6.45	pubere in aevo 
6.46	deseruisti
6.47	vota tuorum,
6.48	non mansuris
6.49	ornate bonis.
6.50	quam fatiloquo 
6.51	dicte profatu
6.52	versus Horati:
6.53	“Nil est ab omni
6.54	parte beatum.”
7.1	QUI colis laetos hilarosque mores,
7.2	qui dies festos, ioca, vota, ludum,
7.3	annuum functi memora Leonti
7.4	nomine threnum.
7.5	iste, Lascivus patiens vocari, 
7.6	nomen indignum probitate vitae
7.7	abnuit numquam, quia gratum ad aures
7.8	esset amicas.
7.9	litteris tantum titulum adsecutus,
7.10	quantus exili satis est cathedrae, 
7.11	posset insertus numero ut videri
7.12	grammaticorum.
7.13	Tu meae semper socius iuventae,
7.14	pluribus quamvis cumulatus annis,
7.15	nunc quoque in nostris recales medullis, 
7.16	blande Leonti!
7.17	et iuvat tristi celebrare cura
7.18	flebilem cantum memoris querellae:
7.19	munus ingratum tibi debitumque
7.20	carmine nostro. 
8.1	ROMULUM post hos prius an Corinthi,
8.2	anne Sperchei pariterque nati
8.3	Atticas musas memorem Menesthei
8.4	grammaticorum?
8.5	sedulum cunctis studium docendi, 
8.6	fructus exilis tenuisque sermo:
8.7	set, quia nostro docuere in aevo,
8.8	commemorandi.
8.9	tertius horum mihi non magister,
8.10	ceteri primis docuere in annis, 
8.11	ne forem vocum rudis aut loquendi
8.12	sic 1 sine cultu:
8.13	obstitit nostrae quia, credo, mentis
8.14	tardior sensus neque disciplinis
8.15	adpulit Graecis puerilis aevi 
8.16	noxius error.
8.17	Vos levis caespes tegat et sepulcri
8.18	tecta defendant cineres opertos
8.19	ac meae vocis titulus supremum
8.20	reddat honorem. 
9.1	ET te, quem cathedram temere usurpasse locuntur
9.2	nomen grammatici nec meruisse putant,
9.3	voce ciebo tamen, simplex, bone, amice, sodalis,
9.4	Iucunde, hoc ipso care magis studio:
9.5	quod, quamvis impar, nomen tam nobile amasti, 
9.6	es meritos inter commemorande viros.
10.1	NUNC ut quemque mihi
10.2	flebilis officii
10.3	relligiosus honor
10.4	suggeret, expediam,
10.5	qui, quamvis humili 
10.6	stirpe, loco ac merito,
10.7	ingeniis hominum
10.8	Burdigalae rudibus 
10.9	introtulere tamen
10.10	grammatices studium. 
10.11	Sit MACRINUS in his:
10.12	huic mea principio
10.13	credita puerities;
10.14	et libertina
10.15	SUCURO progenie, 
10.16	sobrius et puerorum
10.17	utilis ingeniis,
10.18	et tu CONCORDI,
10.19	qui profugus patria
10.20	mutasti sterilem 
10.21	urbe alia cathedram.
10.22	nec reticebo senem
10.23	nomine PHOEBICIUM,
10.24	qui Beleni aedituus
10.25	nil opis inde tulit; 
10.26	set tamen, ut placitum,
10.27	stirpe satus Druidum
10.28	gentis Aremoricae,
10.29	Burdigalae cathedram
10.30	nati opera obtinuit: 
10.31	permaneat series. 
10.35	AMMONIUM et recinam 2 — 
10.32	relligiosum etenim
10.33	commemorare meae
10.34	grammaticum patrie — qui 
10.36	rudibus pueris
10.37	prima elementa dabat,
10.38	doctrina exiguus,
10.39	moribus inplacidis:
10.40	proinde, ut erat meritum, 
10.41	famam habuit tenuem.
10.42	Pange et ANASTASIO
10.43	flebile, Musa, melum
10.44	et memora tenuem
10.45	nenia, grammaticum. 
10.46	Burdigalae hunc genitum
10.47	transtulit ambitio
10.48	Pictonicaeque dedit,
10.49	pauper ibi et tenuem
10.50	victum habitumque colens,
10.51	gloriolam exilem 
10.52	et patriae et cathedrae
10.53	perdidit in senio,
10.54	set tamen hunc noster
10.55	commemoravit honos, 
10.56	ne pariter tumulus
10.57	nomen et ossa tegat.
11.1	HERCULANE, qui, profectus gremio de nostro et schola,
11.2	spem magis, quam rem fruendam praebuisti avunculo,
11.3	particeps scholae et cathedrae paene sucessor meae,
11.4	lubricae nisi te iuventae praecipitem flexus daret,
11.5	Pythagorei non tenentem tramitis rectam viam: 5 
11.6	esto placidus et quietis manibus sedem fove,
11.7	iam mihi cognata dudum inter memoratus nomina.
12.1	OFFICIUM nomenque tuum, primaeve Thalasse,
12.2	parvulus audivi, vix etiam memini,
12.3	qua forma aut merito fueris, qua stirpe parentum,
12.4	aetas nil de te posterior celebrat.
12.5	grammaticum iuvenem tantum te fama ferebat, 
12.6	tum quoque tam tenuis, quam modo nulla manet.
12.7	set quicumque tamen, nostro quia doctor in aevo
12.8	vixisti, hoc nostrum munus habeto, vale.
13.1	ET, Citari dilecte, mihi memorabere, dignus
13.2	grammaticos inter qui celebrere bonos,
13.3	esset Aristarchi tibi gloria Zenodotique
13.4	Graiorum, antiquus si sequeretur honos,
13.5	carminibus, quae prima tuis sunt condita in annis, 
13.6	concedit Cei musa Simonidei.
13.7	urbe satus Sicula nostram peregrinus adisti,
13.8	excultam studiis quam propere edideras.
13.9	coniugium nanctus cito nobilis et locupletis,
13.10	invidia fati non genitor moreris. 
13.11	at nos defunctum memori celebramus honore,
13.12	fovimus ut vivum munere amicitiae.
14.1	ELOQUII merito primis aequande, fuisti,
14.2	Agrici, positus posteriore loco:
14.3	aevo qui quoniam genitus functusque recenti,
14.4	dilatus nobis, non et omissus eras.
14.5	quocumque in numero, tristi memorabere threno: 5
14.6	unus honos tumuli, serus et ante datus.
14.7	tam generis tibi celsus apex, quam gloria fandi,
14.8	gloria Athenaei cognita sede loci:
14.9	Nazario et claro quondam delata Paterae
14.10	egregie multos excoluit iuvenes. 
14.11	coniuge nunc natisque superstitibus generoque
14.12	maiorum manes
14.13	et monumenta foves.
15.1	FACETE, comis, animo iuvenali senex,
15.2	cui felle nullo, melle multo mens madens
15.3	aevum per omne nil amarum miscuit,
15.4	medella nostri, Nepotiane, pectoris,
15.5	tam seriorum quam iocorum particeps, 
15.6	taciturne, Amyclas qui silendo viceris:
15.7	te fabulantem non Ulixes linqueret,
15.8	liquit canentes qui melodas virgines:
15.9	probe et pudice, parce, frugi, abstemie,
15.10	facunde, nulli rhetorum cedens stilo 
15.11	et disputator ad Cleanthen Stoicum:
15.12	Scaurum Probumque corde callens intimo
15.13	et Epirote Cinea memor magis:
15.14	sodalis et convictor, hospes iugiter:
15.15	parum quod hospes, mentis agitator meae. 
15.16	consilia nullus mente tam pura dedit
15.17	vel altiore conditu texit data.
15.18	honore gesti praesidatus inclitus,
15.19	decies novenas functus annorum vices,
15.20	duos relinquens liberos morte oppetis, 
15.21	dolore multo tam tuorum quam meo.
16.1	INTER cognatos iam fletus, avuncule, manes
16.2	inter rhetoricos nunc memorandus eris
16.3	illud opus pietas, istud reverenda virorum
16.4	nomina pro patriae relligione habeant,
16.5	bis meritum duplici celebremus honore parentem 
16.6	Arborium, Arborio patre et avo Argicio.
16.7	Stemma tibi patris Haeduici, Tarbellica Maurae
16.8	matris origo fuit: ambo genus procerum,
16.9	nobilis et dotata uxor, domus et schola, cultae
16.10	principum amicitiae contigerunt iuveni, 
16.11	dum Constantini fratres opulenta Tolosa
16.12	exilii specie sepositos cohibet.
16.13	Byzanti inde arcem Thressaeque Propontidis urbem
16.14	Constantinopolim fama tui pepulit,
16.15	illic dives opum doctoque ibi Caesare honorus 
16.16	occumbis patribus, Magne, superstitibus.
16.17	in patriam sed te sedem ac monumenta tuorum
16.18	principis Augusti restituit pietas,
16.19	hinc renovat causam lacrimis et flebile munus
16.20	annuus ingrata relligione dies. 
17.1	EXUPERI, memorande mihi, facunde sine arte,
17.2	incessu gravis et verbis ingentibus, ore
17.3	pulcher et ad summam motuque habituque venusto:
17.4	copia cui fandi longe pulcherrima, quam si
17.5	auditu tenus acciperes, deflata placeret, 
17.6	discussam scires solidi nihil edere sensus.
17.7	Palladiae primum toga te venerata Tolosae
17.8	mox pepulit levitate pari. Narbso inde recepit,
17.9	illic Dalmatio genitos, fatalia regum
17.10	nomina, tum pueros, grandi mercede docendi 
17.11	formasti rhetor metam prope puberis aevi.
17.12	Caesareum qui mox indepti nomen honorem
17.13	praesidis Hispanumque tibi tribuere tribunal,
17.14	decedens placidos mores tranquillaque vitae
17.15	tempora praedives finisti sede Cadurca. 
17.16	sed patriae te iura vocant et origo parentum.
17.17	Burdigalae ut rursum nomen de rhetore reddas.
18.1	NEC te Marcello genitum, Marcelle, silebo,
18.2	aspera quem genetrix urbe, domo pepulit:
18.3	sed fortuna potens cito reddidit omnia et auxit:
18.4	amissam primum Narbo dedit patriam,
18.5	nobilis hic hospes Clarentius indole motus 
18.6	egregia natam coniugio adtribuit.
18.7	mox schola et auditor multus praetextaque pubes
18.8	grammatici nomen divitiasque dedit,
18.9	sed numquam iugem cursum fortuna secundat,
18.10	praesertim pravi nancta virum ingenii. 
18.11	verum oneranda mihi non sunt, memoranda recepi
18.12	fata; sat est dictum cuncta perisse simul:
18.13	non tamen et nomen, quo te non fraudo, receptum
18.14	inter grammaticos praetenuis meriti.
19.1	RELLIGIO est, tacitum si te, Sedate, relinquam,
19.2	quamvis docendi munus indepte es foris,
19.3	communis patria est tecum mihi: sorte potentis
19.4	fati Tolosam nanctus es sedem scholae.
19.5	illic coniugium natique opulensque senectus 
19.6	et fama, magno qualis est par rhetori.
19.7	quamvis externa tamen a regione reducit
19.8	te patria et civem morte obita repetit,
19.9	cumque vagantem operam divisae impenderis urbi,
19.10	arbitrium de te sumit origo suum. 
19.11	et tua nunc suboles morem sectata parentis
19.12	Narbonem ac Romam nobilitat studiis;
19.13	sed quid conquerimur? Longum post tempus et illos 1 
19.14	fama, velit nolit, Burdigalam referet.
20.1	HACTENUS observata mihi lex commemorandi
20.2	cives, sive domi seu docuere foris,
20.3	externum sed fas coniungere civibus unum
20.4	te, Staphyli, genitum stirpe Novem populis,
20.5	tu mihi, quod genitor, quod avunculus, unus utrumque, 
20.6	alter ut Ausonius, alter ut Arborius.
20.7	grammatice ad Scaurum atque Probum, promptissime rhetor,
20.8	historiam callens Livii et Herodoti.
20.9	omnis doctrinae ratio tibi cognita, quantam
20.10	condit sescentis Varro voluminibus. 
20.11	aurea mens, vox suada tibi, tum sermo quietus:
20.12	nec cunctator erat, nec properator erat.
20.13	pulchra senecta, nitens habitus, procul ira dolorque;
20.14	et placidae vitae congrua meta fuit.
21.1	TU quoque in aevum, Crispe, futurum
21.2	maesti venies commemoratus
21.3	munere threni.
21.4	qui primaevos fandique rudes
21.5	elementorum prima docebas 
21.6	signa novorum:
21.7	creditus olim fervere mero,
21.8	ut Vergilii Flaccique locis 1
21.9	aemula ferres.
21.10	Et tibi Latiis posthabite orsis, 
21.11	Urbice, Grais celebris, carmen
21.12	sic ἐλελείσω .
21.13	nam tu Crispo coniuncte tuo
21.14	prosa solebas et versa loqui
21.15	impete eodem, 
21.16	priscos ut mox heroas olim
21.17	carmine Homeri commemoratos
21.18	fando referres:
21.19	dulcem in paucis ut Plistheniden,
21.20	et torrentis ceu Dulichii 
21.21	ninguida dicta,
21.22	et mellitae nectare vocis
21.23	dulcia fatu verba canentem
21.24	Nestora regem.
21.25	Ambo loqui faciles, ambo omnia carmina docti, 
21.26	callentes mython plasmata et historiam,
21.27	liberti ambo genus, sed quos meruisse deceret
21.28	nancisci, ut cluerent patribus ingenuis.
22.1	VICTORI studiose, memor, celer, ignoratis
22.2	adsidue in libris nec nisi operta legens,
22.3	exesas tineis opicasque evolvere chartas
22.4	maior quam promptis cura tibi in studiis,
22.5	quod ius 1 pontificum, quae foedera, stemma quod olim
22.6	ante Numam fuerit sacrifici Curibus: 
22.7	quid Castor cunctis de regibus ambiguis, quid
22.8	coniugis e libris ediderit Rhodope:
22.9	quod ius pontificum, veterum quae scita Quintum
22.10	quae consulta patrum, quid Draco quidve Solon 
22.11	sanxerit et Locris dederit quae iura Zaleucus,
22.12	sub Iove quae Minos, quae Themis ante Iovem,
22.13	nota tibi potius, quam Tullius et Maro nostri
22.14	et quidquid Latia conditur historia,
22.15	fors istos etiam tibi lectio longa dedisset, 
22.16	supremum Lachesis ni celerasset iter.
22.17	exili nostrae fucatus honore cathedrae,
22.18	libato tenuis nomine grammatici:
22.19	longinquis posthac Cumae defunctus in oris,
22.20	ad quas de Siculo litore transieras. 
22.21	sed modo nobilium memoratus in agmine gaude,
22.22	pervenit ad manes si pia cura tuos.
23.1	SET neque te maesta, Dynami, fraudabo querella,
23.2	municipem patriae causidicumque meae,
23.3	crimine adulterii quem saucia fama fugavit,
23.4	parvula quem latebris fovit Hilerda suis,
23.5	quem locupletavit coniunx Hispana latentem; 
23.6	namque ibi mutato nomine rhetor eras,
23.7	rhetor Flavini cognomine dissimulatus,
23.8	ne posset profugum prodere culpa suum.
23.9	reddiderat quamvis patriae te sera voluntas,
23.10	mox residem rursum traxit Hilerda domus. 
23.11	Qualiscumque tuae fuerit fuga famaque vitae,
23.12	iungeris antiqua tu mihi amicitia,
23.13	officiumque meum, sensus si manibus ullus,
23.14	accipe iam serum morte obita, Dynami.
23.15	diversis quamvis iaceas defunctus in oris, 
23.16	commemorat maestis te pia cura elegis.
24.1	DOCTRINAE vitaeque pari brevitate caducum,
24.2	Glabrio, te maestis commemorabo elegis,
24.3	stemmate nobilium deductum nomen avorum,
24.4	Glabrio Acilini, 1 Dardana progenies.
24.5	tu quondam puero conpar mihi, discipulus mox, 
24.6	meque dehinc facto rhetore grammaticus,
24.7	inque foro tutela reis et cultor in agris,
24.8	digne, diu partis qui fruerere bonis:
24.9	commode, laete, benigne, abstemie, tam bone dandis
24.10	semper consiliis, quam taciturne datis, 
24.11	tam decus omne tuis quam mox dolor, omnia acerbo
24.12	funere praereptus, Glabrio, destituis:
24.13	uxore et natis, genitore et matre relictis,
24.14	eheu quam multis perdite nominibus!
24.15	flete diu nobis, numquam satis, accipe acerbum, 
24.16	Glabrio, in aeternum commemorate, vale.
25.1	QUOS legis a prima deductos menide libri,
25.2	doctores patriae scito fuisse meae,
25.3	grammatici in studio vel rhetoris aut in utroque,
25.4	quos memorasse mihi morte obita satis est.
25.5	viventum inlecebra est laudatio: nomina tantum 
25.6	voce ciere suis sufficiet tumulis,
25.7	ergo, qui nostrae legis otia tristia chartae,
25.8	eloquium ne tu quaere, set officium,
25.9	quo claris doctisque viris pia cura parentat,
25.10	dum decora egregiae commeminit patriae. 
26.1	VALETE, manes inclitorum rhetorum:
26.2	valete, doctores probi,
26.3	historia si quos vel poeticus stilus
26.4	forumve fecit nobiles,
26.5	medicae vel artis dogma vel Platonicum 
26.6	dedit perenni gloriae:
26.7	et si qua functis cura viventum placet
26.8	iuvatque honor superstitum:
26.9	accipite maestum carminis cultum mei
26.10	textum querella flebili. 
26.11	sedem sepulcri servet immotus cinis,
26.12	memoria vivat nominum,
26.13	dum remeat illud, iudicis dono dei,
26.14	commune cunctis saeculum.
